ID,Date,Age,DisttoMRT,NumConvStores,Lat,Long,Price,Year,Month
20,2012.6666667,1.5,23.38284,7,24.96772,121.54102,47.7,2012,9
276,2012.6666667,1.5,23.38284,7,24.96772,121.54102,49.7,2012,9
161,2012.9166667,3.5,49.66105,8,24.95836,121.53756,57.8,2012,12
378,2013.3333333,3.9,49.66105,8,24.95836,121.53756,56.8,2013,5
58,2012.9166667,3.5,56.47425,7,24.95744,121.53711,53.5,2012,12
327,2013.5,4.1,56.47425,7,24.95744,121.53711,62.1,2013,7
193,2013.1666667,43.8,57.58945,7,24.9675,121.54069,42.7,2013,3
386,2013,18.3,82.88643,10,24.983,121.54026,46.6,2013,1
1,2012.9166667,32,84.87882,10,24.98298,121.54024,37.9,2012,12
361,2012.6666667,32.9,87.30222,10,24.983,121.54022,47.1,2012,9
12,2013.3333333,6.3,90.45606,9,24.97433,121.5431,58.1,2013,5
71,2013.5833333,6.6,90.45606,9,24.97433,121.5431,59,2013,8
97,2013.4166667,6.4,90.45606,9,24.97433,121.5431,59.5,2013,6
173,2013.5833333,6.6,90.45606,9,24.97433,121.5431,58.1,2013,8
214,2013.0833333,6.2,90.45606,9,24.97433,121.5431,58,2013,2
253,2012.8333333,5.9,90.45606,9,24.97433,121.5431,52.7,2012,11
287,2012.9166667,5.9,90.45606,9,24.97433,121.5431,56.3,2012,12
414,2013.5,6.5,90.45606,9,24.97433,121.5431,63.9,2013,7
68,2013.5,8.5,104.8101,5,24.96674,121.54067,56.8,2013,7
96,2012.9166667,8,104.8101,5,24.96674,121.54067,51.8,2012,12
111,2013.0833333,8.1,104.8101,5,24.96674,121.54067,51.6,2013,2
164,2013.5,8.5,104.8101,5,24.96674,121.54067,55.5,2013,7
314,2013.3333333,8.3,104.8101,5,24.96674,121.54067,42.8,2013,5
334,2012.75,7.8,104.8101,5,24.96674,121.54067,38.4,2012,10
350,2012.75,7.8,104.8101,5,24.96674,121.54067,47,2012,10
413,2013,8.1,104.8101,5,24.96674,121.54067,52.5,2013,1
364,2013.5,32.3,109.9455,10,24.98182,121.54086,48,2013,7
300,2013.1666667,33.2,121.7262,10,24.98178,121.54059,46.1,2013,3
66,2013.4166667,40.1,123.7429,8,24.97635,121.54329,44.3,2013,6
129,2013.0833333,41.3,124.9912,6,24.96674,121.54039,60.7,2013,2
198,2013.25,34.4,126.7286,8,24.96881,121.54089,48.2,2013,4
406,2012.6666667,23,130.9945,6,24.95663,121.53765,37.2,2012,9
382,2013.4166667,8,132.5469,9,24.98298,121.53981,47.3,2013,6
115,2012.6666667,30.6,143.8383,8,24.98155,121.54142,53.3,2012,9
83,2013.0833333,13.2,150.9347,7,24.96725,121.54252,48.1,2013,2
301,2013.0833333,2.5,156.2442,4,24.96696,121.53992,36.9,2013,2
199,2013.0833333,34,157.6052,7,24.96628,121.54196,39.1,2013,2
373,2013,33.9,157.6052,7,24.96628,121.54196,41.5,2013,1
404,2012.6666667,30.9,161.942,9,24.98353,121.53966,39.7,2012,9
95,2012.9166667,40.9,167.5989,5,24.9663,121.54026,41,2012,12
307,2013.5,14.4,169.9803,1,24.97369,121.52979,50.2,2013,7
102,2012.8333333,12.7,170.1289,1,24.97371,121.52984,32.9,2012,11
400,2012.9166667,12.7,170.1289,1,24.97371,121.52984,37.3,2012,12
151,2013.25,35.8,170.7311,7,24.96719,121.54269,48.5,2013,4
210,2012.8333333,34.8,175.6294,8,24.97347,121.54271,40.9,2012,11
150,2012.6666667,34.9,179.4538,8,24.97349,121.54245,39.7,2012,9
178,2013.0833333,33,181.0766,9,24.97697,121.54262,42,2013,2
281,2013.25,2.3,184.3302,6,24.96581,121.54086,45.4,2013,4
124,2013.4166667,0,185.4296,0,24.9711,121.5317,45.5,2013,6
147,2012.75,0,185.4296,0,24.9711,121.5317,52.2,2012,10
165,2012.8333333,0,185.4296,0,24.9711,121.5317,55.2,2012,11
346,2012.6666667,0,185.4296,0,24.9711,121.5317,37.9,2012,9
387,2012.8333333,0,185.4296,0,24.9711,121.5317,55.3,2012,11
221,2013.3333333,37.2,186.5101,9,24.97703,121.54265,78.3,2013,5
135,2012.6666667,33.4,186.9686,6,24.96604,121.54211,42.2,2012,9
323,2013,12.9,187.4823,1,24.97388,121.52981,33.1,2013,1
107,2013.0833333,17.2,189.5181,8,24.97707,121.54308,47.1,2013,2
189,2012.9166667,34.8,190.0392,8,24.97707,121.54312,44.3,2012,12
67,2013,1,193.5845,6,24.96571,121.54089,50.7,2013,1
103,2013.0833333,1.1,193.5845,6,24.96571,121.54089,54.4,2013,2
126,2013.1666667,1.1,193.5845,6,24.96571,121.54089,48.6,2013,3
359,2013.1666667,1.1,193.5845,6,24.96571,121.54089,45.1,2013,3
112,2013.5833333,33.3,196.6172,7,24.97701,121.54224,39.4,2013,8
324,2013.4166667,28.6,197.1338,6,24.97631,121.54436,42.5,2013,6
182,2013.1666667,11.6,201.8939,8,24.98489,121.54121,55.9,2013,3
244,2013.4166667,32.8,204.1705,8,24.98236,121.53923,48.2,2013,6
35,2012.75,15.4,205.367,7,24.98419,121.54243,55.1,2012,10
104,2012.75,0,208.3905,6,24.95618,121.53844,45.7,2012,10
279,2012.75,0,208.3905,6,24.95618,121.53844,44,2012,10
357,2012.8333333,10.3,211.4473,1,24.97417,121.52999,45.3,2012,11
130,2013.4166667,38.5,216.8329,7,24.98086,121.54162,41,2013,6
242,2013.5,13.7,250.631,7,24.96606,121.54297,41.4,2013,7
317,2013.25,13.3,250.631,7,24.96606,121.54297,42,2013,4
271,2013.3333333,10.8,252.5822,1,24.9746,121.53046,117.5,2013,5
339,2012.9166667,31.5,258.186,9,24.96867,121.54331,36.3,2012,12
62,2013.5,5.3,259.6607,6,24.97585,121.54516,63.2,2013,7
349,2012.8333333,4.6,259.6607,6,24.97585,121.54516,53.7,2012,11
341,2013.3333333,33.6,270.8895,0,24.97281,121.53265,42.9,2013,5
320,2013.25,34.6,272.6783,5,24.95562,121.53872,26.9,2013,4
212,2013.0833333,0,274.0144,1,24.9748,121.53059,43.5,2013,2
374,2013.0833333,0,274.0144,1,24.9748,121.53059,52.2,2013,2
28,2013.25,10.4,276.449,5,24.95593,121.53913,33.6,2013,4
22,2013.4166667,10.5,279.1726,7,24.97528,121.54541,51.6,2013,6
24,2013.0833333,10.1,279.1726,7,24.97528,121.54541,47.9,2013,2
125,2012.9166667,9.9,279.1726,7,24.97528,121.54541,57.4,2012,12
362,2013.0833333,41.4,281.205,8,24.97345,121.54093,63.3,2013,2
8,2013.4166667,20.3,287.6025,6,24.98042,121.54228,46.7,2013,6
99,2013.4166667,16.4,289.3248,5,24.98203,121.54348,51,2013,6
120,2013.5,16.6,289.3248,5,24.98203,121.54348,59.6,2013,7
141,2013.25,16.2,289.3248,5,24.98203,121.54348,51.4,2013,4
204,2012.6666667,15.6,289.3248,5,24.98203,121.54348,46.1,2012,9
263,2012.9166667,15.9,289.3248,5,24.98203,121.54348,53,2012,12
290,2013.3333333,13.9,289.3248,5,24.98203,121.54348,44.5,2013,5
306,2013.0833333,16.2,289.3248,5,24.98203,121.54348,55,2013,2
309,2013.4166667,16.4,289.3248,5,24.98203,121.54348,53,2013,6
371,2012.75,15.9,289.3248,5,24.98203,121.54348,42.1,2012,10
381,2013.3333333,14.1,289.3248,5,24.98203,121.54348,53.3,2013,5
405,2013.3333333,16.4,289.3248,5,24.98203,121.54348,41.2,2013,5
17,2013.25,0,292.9978,6,24.97744,121.54458,70.1,2013,4
106,2012.8333333,0,292.9978,6,24.97744,121.54458,71,2012,11
167,2013.4166667,0,292.9978,6,24.97744,121.54458,73.6,2013,6
259,2013.4166667,0,292.9978,6,24.97744,121.54458,63.3,2013,6
380,2013.3333333,0,292.9978,6,24.97744,121.54458,69.7,2013,5
372,2013.5,4.1,312.8963,5,24.95591,121.53956,51.7,2013,7
313,2013.5833333,35.4,318.5292,9,24.97071,121.54069,78,2013,8
34,2013.25,16.5,323.655,6,24.97841,121.54281,49.3,2013,4
289,2013.5833333,16.6,323.6912,6,24.97841,121.5428,51,2013,8
225,2013.3333333,34.5,324.9419,6,24.97814,121.5417,46,2013,5
255,2012.6666667,1.1,329.9747,5,24.98254,121.54395,51.8,2012,9
340,2013.3333333,1.7,329.9747,5,24.98254,121.54395,50.4,2013,5
168,2013.4166667,28.2,330.0854,8,24.97408,121.54011,43.4,2013,6
234,2013.3333333,39.7,333.3679,9,24.98016,121.53932,32.4,2013,5
295,2013.5,26.4,335.5273,6,24.9796,121.5414,38.1,2013,7
60,2013.0833333,13.3,336.0532,5,24.95776,121.53438,42.4,2013,2
336,2013.5833333,27.3,337.6016,6,24.96431,121.54063,36.5,2013,8
86,2012.75,0,338.9679,9,24.96853,121.54413,50.8,2012,10
358,2013.4166667,0,338.9679,9,24.96853,121.54413,44.9,2013,6
257,2012.6666667,14.6,339.2289,1,24.97519,121.53151,26.5,2012,9
18,2012.75,17.7,350.8515,1,24.97544,121.53119,37.4,2012,10
369,2013.4166667,18.2,350.8515,1,24.97544,121.53119,43.1,2013,6
19,2013.4166667,16.9,368.1363,8,24.9675,121.54451,42.3,2013,6
57,2013.4166667,33.6,371.2495,8,24.97254,121.54059,41.9,2013,6
407,2013.1666667,1.9,372.1386,7,24.97293,121.54026,40.5,2013,3
218,2012.9166667,28,372.6242,6,24.97838,121.54119,40.8,2012,12
134,2012.8333333,18,373.3937,8,24.9866,121.54082,39.5,2012,11
154,2013.25,6.5,376.1709,6,24.95418,121.53713,40.9,2013,4
82,2013,30.8,377.7956,6,24.96427,121.53964,36.8,2013,1
391,2013.5,32.8,377.8302,9,24.97151,121.5435,38.6,2013,7
75,2012.9166667,6.8,379.5575,10,24.98343,121.53762,54.4,2012,12
207,2013.25,22.2,379.5575,10,24.98343,121.53762,44,2013,4
319,2013.3333333,7.1,379.5575,10,24.98343,121.53762,49.8,2013,5
85,2013.0833333,15.1,383.2805,7,24.96735,121.54464,43.7,2013,2
285,2012.9166667,15,383.2805,7,24.96735,121.54464,34.4,2012,12
294,2012.6666667,12.6,383.2805,7,24.96735,121.54464,42.5,2012,9
216,2013.3333333,19.2,383.7129,8,24.972,121.54477,48.1,2013,5
172,2013.0833333,3.6,383.8624,5,24.98085,121.54391,58.8,2013,2
356,2013.25,3.8,383.8624,5,24.98085,121.54391,60.7,2013,4
152,2013.5,4.9,387.7721,9,24.98118,121.53788,44.7,2013,7
247,2013.4166667,16.4,389.8219,6,24.96412,121.54273,40.6,2013,6
159,2013,11.6,390.5684,5,24.97937,121.54245,39.4,2013,1
211,2013.5,5.2,390.5684,5,24.97937,121.54245,52.2,2013,7
269,2013.4166667,17.2,390.5684,5,24.97937,121.54245,40.1,2013,6
375,2013.25,5.4,390.5684,5,24.97937,121.54245,49.5,2013,4
105,2012.6666667,32.7,392.4459,6,24.96398,121.5425,30.5,2012,9
114,2013.3333333,14.8,393.2606,6,24.96172,121.53812,7.6,2013,5
275,2013.1666667,27.5,394.0173,7,24.97305,121.53994,41,2013,3
293,2013.0833333,17.5,395.6747,5,24.95674,121.534,24.5,2013,2
174,2013.0833333,41.3,401.8807,4,24.98326,121.5446,35.1,2013,2
11,2013.0833333,34.8,405.2134,1,24.97349,121.53372,41.4,2013,2
123,2013.25,31.5,414.9476,4,24.98199,121.54464,32.5,2013,4
194,2013.4166667,9.7,421.479,5,24.98246,121.54477,49.3,2013,6
73,2013.5833333,32.5,424.5442,8,24.97587,121.53913,36.3,2013,8
251,2013.1666667,39.2,424.7132,7,24.97429,121.53917,30,2013,3
223,2013.5833333,30.6,431.1114,10,24.98123,121.53743,48.5,2013,8
180,2013.0833333,14,438.8513,1,24.97493,121.5273,42.6,2013,2
304,2013.5,38.3,439.7105,0,24.97161,121.53423,38.4,2013,7
30,2013.0833333,7.1,451.2438,5,24.97563,121.54694,57.1,2013,2
146,2012.9166667,2.1,451.2438,5,24.97563,121.54694,45.5,2012,12
272,2012.9166667,17.7,451.6419,8,24.96945,121.5449,26.5,2012,12
196,2013.3333333,15.2,461.1016,5,24.95425,121.5399,34.6,2013,5
277,2013,19.1,461.1016,5,24.95425,121.5399,34,2013,1
302,2012.75,38,461.7848,0,24.97229,121.53445,35.7,2012,10
47,2013.4166667,21.7,463.9623,9,24.9703,121.54458,42,2013,6
176,2013.0833333,30.2,472.1745,3,24.97005,121.53758,36.5,2013,2
25,2013,39.6,480.6977,4,24.97353,121.53885,38.8,2013,1
268,2012.8333333,34.7,482.7581,5,24.97433,121.53863,41.1,2012,11
401,2013.25,26.8,482.7581,5,24.97433,121.53863,35.5,2013,4
33,2012.75,37.9,488.5727,1,24.97349,121.53451,34.2,2012,10
46,2013.0833333,36.6,488.8193,8,24.97015,121.54494,38.3,2013,2
326,2013.0833333,36.6,488.8193,8,24.97015,121.54494,38.1,2013,2
148,2012.75,3.2,489.8821,8,24.97017,121.54494,43.2,2012,10
291,2013.0833333,37.7,490.3446,0,24.97217,121.53471,37,2013,2
13,2012.9166667,13,492.2313,5,24.96515,121.53737,39.3,2012,12
54,2013.0833333,13.3,492.2313,5,24.96515,121.53737,38.9,2013,2
121,2013.1666667,13.3,492.2313,5,24.96515,121.53737,31.3,2013,3
122,2013.5,13.6,492.2313,5,24.96515,121.53737,48,2013,7
140,2012.6666667,12.9,492.2313,5,24.96515,121.53737,42.5,2012,9
144,2013.5,13.6,492.2313,5,24.96515,121.53737,40.1,2013,7
219,2013.4166667,13.6,492.2313,5,24.96515,121.53737,43.8,2013,6
273,2012.75,13,492.2313,5,24.96515,121.53737,40.5,2012,10
351,2013,13.2,492.2313,5,24.96515,121.53737,42.3,2013,1
265,2013.1666667,32.6,493.657,7,24.96968,121.54522,40.6,2013,3
384,2012.6666667,29.1,506.1144,4,24.97845,121.53889,40.3,2012,9
51,2013.4166667,21.7,512.5487,4,24.974,121.53842,44.2,2013,6
396,2012.9166667,21.2,512.5487,4,24.974,121.53842,42.5,2012,12
44,2012.75,34.4,512.7871,6,24.98748,121.54301,34.1,2012,10
169,2013.0833333,27.6,515.1122,5,24.96299,121.5432,37.4,2013,2
43,2013.4166667,36.1,519.4617,5,24.96305,121.53758,34.7,2013,6
220,2012.75,29.3,529.7771,8,24.98102,121.53655,40.2,2012,10
45,2013.5833333,2.7,533.4762,4,24.97445,121.54765,53.9,2013,8
64,2013.5833333,2.6,533.4762,4,24.97445,121.54765,55,2013,8
131,2013.25,29.6,535.527,8,24.98092,121.53653,37.5,2013,4
312,2013.1666667,21.3,537.7971,4,24.97425,121.53814,42.2,2013,3
79,2012.9166667,38.2,552.4371,2,24.97598,121.53381,29.8,2012,12
29,2013.5,19.2,557.478,4,24.97419,121.53797,47,2013,7
3,2013.5833333,13.3,561.9845,5,24.98746,121.54391,47.3,2013,8
4,2013.5,13.3,561.9845,5,24.98746,121.54391,54.8,2013,7
70,2012.8333333,12.5,561.9845,5,24.98746,121.54391,42,2012,11
344,2013,33.5,563.2854,8,24.98223,121.53597,46.6,2013,1
39,2012.6666667,3.1,577.9615,6,24.97201,121.54722,47.7,2012,9
315,2013.25,3.7,577.9615,6,24.97201,121.54722,41.6,2013,4
16,2013.5833333,35.7,579.2083,2,24.9824,121.54619,50.5,2013,8
379,2013.3333333,37.3,587.8877,8,24.97077,121.54634,37.4,2013,5
217,2013.25,37.8,590.9292,1,24.97153,121.53559,39.7,2013,4
109,2013.4166667,31.4,592.5006,2,24.9726,121.53561,34.1,2013,6
338,2012.8333333,31.3,600.8604,5,24.96871,121.54651,30.9,2012,11
365,2013.4166667,35.3,614.1394,7,24.97913,121.53666,33.1,2013,6
77,2013.5833333,35.9,616.4004,3,24.97723,121.53767,36.8,2013,8
162,2013.4166667,19.2,616.4004,3,24.97723,121.53767,39.6,2013,6
191,2013.5,35.3,616.5735,8,24.97945,121.53642,42.3,2013,7
98,2013.0833333,28.4,617.4424,3,24.97746,121.53299,34.6,2013,2
333,2013.1666667,39.8,617.7134,2,24.97577,121.53475,39.6,2013,3
7,2012.6666667,34.5,623.4731,7,24.97933,121.53642,40.3,2012,9
246,2013.4166667,7.5,639.6198,5,24.97258,121.54814,40.8,2013,6
143,2013.4166667,19.8,640.6071,5,24.97017,121.54647,37.5,2013,6
48,2013.5833333,35.9,640.7391,3,24.97563,121.53715,61.5,2013,8
72,2013.0833333,35.5,640.7391,3,24.97563,121.53715,40.8,2013,2
203,2012.9166667,38.3,642.6985,3,24.97559,121.53713,31.5,2012,12
208,2013.0833333,38.5,665.0636,3,24.97503,121.53692,34.2,2013,2
197,2013,22.8,707.9067,2,24.981,121.54713,36.6,2013,1
286,2013.1666667,30.1,718.2937,3,24.97509,121.53644,55.3,2013,3
239,2013.0833333,12.8,732.8528,0,24.97668,121.52518,40.6,2013,2
116,2013.0833333,20.6,737.9161,2,24.98092,121.54739,46.4,2013,2
192,2013.1666667,13.2,750.0704,2,24.97371,121.54951,37.8,2013,3
342,2013,13,750.0704,2,24.97371,121.54951,37,2013,1
328,2013.4166667,3.5,757.3377,3,24.97538,121.54971,36.7,2013,6
32,2012.75,29.6,769.4034,7,24.98281,121.53408,25,2012,10
127,2013.0833333,38.6,804.6897,4,24.97838,121.53477,62.9,2013,2
158,2013.25,16.1,815.9314,4,24.97886,121.53464,35.6,2013,4
160,2012.6666667,15.5,815.9314,4,24.97886,121.53464,37.4,2012,9
266,2012.8333333,15.7,815.9314,4,24.97886,121.53464,38.1,2012,11
240,2013.5,18.1,837.7233,0,24.96334,121.54767,29.7,2013,7
260,2013.0833333,17.7,837.7233,0,24.96334,121.54767,28.8,2013,2
270,2013,17.6,837.7233,0,24.96334,121.54767,23,2013,1
397,2012.6666667,37.1,918.6357,1,24.97198,121.55063,31.9,2012,9
139,2013.1666667,10,942.4664,0,24.97843,121.52406,43.5,2013,3
322,2012.9166667,16.9,964.7496,4,24.98872,121.53411,37.7,2012,12
394,2013,16.9,967.4,4,24.98872,121.53408,40.3,2013,1
65,2013.3333333,17.5,995.7554,0,24.96305,121.54915,25.3,2013,5
136,2012.9166667,18.9,1009.235,0,24.96357,121.54951,20.8,2012,12
249,2013,19,1009.235,0,24.96357,121.54951,22.3,2013,1
335,2012.9166667,30,1013.341,5,24.99006,121.5346,22.8,2012,12
179,2013.5,13.1,1144.436,4,24.99176,121.53456,36.7,2013,7
297,2012.75,12.5,1144.436,4,24.99176,121.53456,34.1,2012,10
230,2013.5833333,31,1156.412,0,24.9489,121.53095,19,2013,8
331,2013.0833333,32,1156.777,0,24.94935,121.53046,12.8,2013,2
252,2012.9166667,31.7,1159.454,0,24.9496,121.53018,13.8,2012,12
56,2012.8333333,31.7,1160.632,0,24.94968,121.53009,13.7,2012,11
15,2013.5,13.2,1164.838,4,24.99156,121.53406,34.3,2013,7
398,2013.4166667,13.1,1164.838,4,24.99156,121.53406,32.2,2013,6
166,2012.9166667,13.7,1236.564,1,24.97694,121.55391,30.6,2012,12
310,2013.25,30.3,1264.73,0,24.94883,121.52954,19.1,2013,4
23,2012.9166667,14.7,1360.139,1,24.95204,121.54842,24.6,2012,12
38,2013.1666667,12,1360.139,1,24.95204,121.54842,25.3,2013,3
76,2013.5,12.3,1360.139,1,24.95204,121.54842,29.5,2013,7
108,2013.3333333,12.2,1360.139,1,24.95204,121.54842,26.6,2013,5
145,2013.0833333,11.9,1360.139,1,24.95204,121.54842,28.4,2013,2
153,2013.3333333,12,1360.139,1,24.95204,121.54842,28.9,2013,5
209,2012.75,11.5,1360.139,1,24.95204,121.54842,26.2,2012,10
92,2013.25,9.1,1402.016,0,24.98569,121.5276,43.2,2013,4
222,2013.3333333,9,1402.016,0,24.98569,121.5276,38.5,2013,5
224,2013.25,9.1,1402.016,0,24.98569,121.5276,42.3,2013,4
89,2012.9166667,8.9,1406.43,0,24.98573,121.52758,48,2012,12
80,2013,18,1414.837,1,24.95182,121.54887,26.5,2013,1
53,2013.5833333,32.1,1438.579,3,24.97419,121.5175,27,2013,8
186,2012.75,31.4,1447.286,3,24.97285,121.5173,21.5,2012,10
206,2013.0833333,12.8,1449.722,3,24.97289,121.51728,21.4,2013,2
87,2012.8333333,1.8,1455.798,1,24.9512,121.549,27,2012,11
283,2012.9166667,2,1455.798,1,24.9512,121.549,25.6,2012,12
261,2013.25,17,1485.097,4,24.97073,121.517,30.7,2013,4
26,2013.0833333,29.3,1487.868,2,24.97542,121.51726,27,2013,2
280,2013.4166667,2.6,1554.25,3,24.97026,121.51642,31.1,2013,6
142,2013.3333333,5.1,1559.827,3,24.97213,121.51627,28.9,2013,5
245,2013.0833333,4.8,1559.827,3,24.97213,121.51627,21.7,2013,2
119,2013.5,25.3,1583.722,3,24.96622,121.51709,30.6,2013,7
305,2013.4166667,20,1626.083,3,24.96622,121.51668,29.4,2013,6
311,2013.5833333,16.4,1643.499,2,24.95394,121.55174,24.7,2013,8
241,2013.0833333,11,1712.632,2,24.96412,121.5167,28.8,2013,2
325,2012.6666667,12.4,1712.632,2,24.96412,121.5167,31.3,2012,9
347,2013.4166667,13.2,1712.632,2,24.96412,121.5167,30.8,2013,6
377,2013.4166667,14.7,1717.193,2,24.96447,121.51649,30.5,2013,6
399,2013.4166667,14.7,1717.193,2,24.96447,121.51649,23,2013,6
254,2012.6666667,30.4,1735.595,2,24.96464,121.51623,25.9,2012,9
316,2013.0833333,15.6,1756.411,2,24.9832,121.51812,27.3,2013,2
52,2013.0833333,31.3,1758.406,1,24.95402,121.55282,20.7,2013,2
10,2013.4166667,17.9,1783.18,3,24.96731,121.51486,22.1,2013,6
215,2013.5833333,18.1,1783.18,3,24.96731,121.51486,20.9,2013,8
267,2013.25,17.8,1783.18,3,24.96731,121.51486,23.7,2013,4
367,2012.75,14.2,1801.544,1,24.95153,121.55254,24.8,2012,10
213,2013.3333333,17.6,1805.665,2,24.98672,121.52091,31.1,2013,5
368,2012.8333333,15,1828.319,2,24.96464,121.51531,20.9,2012,11
337,2012.8333333,5.1,1867.233,2,24.98407,121.51748,35.6,2012,11
61,2013.4166667,11,1931.207,2,24.96365,121.51471,21.3,2013,6
37,2012.9166667,14.7,1935.009,2,24.96386,121.51458,22.9,2012,12
392,2013.5833333,6.2,1939.749,1,24.95155,121.55387,31.3,2013,8
170,2013.4166667,8.4,1962.628,1,24.95468,121.55481,23.5,2013,6
243,2012.8333333,2,2077.39,3,24.96357,121.51329,33.4,2012,11
113,2013.4166667,9.9,2102.427,3,24.96044,121.51462,23.1,2013,6
388,2013.25,16.2,2103.555,3,24.96042,121.51462,25.6,2013,4
132,2013.5,4,2147.376,3,24.96299,121.51284,30.7,2013,7
183,2013.5,13.5,2147.376,3,24.96299,121.51284,23.6,2013,7
231,2013.5,4,2147.376,3,24.96299,121.51284,33.4,2013,7
264,2013.4166667,3.9,2147.376,3,24.96299,121.51284,31.7,2013,6
354,2013.5,4.1,2147.376,3,24.96299,121.51284,31.3,2013,7
6,2012.6666667,7.1,2175.03,3,24.96305,121.51254,32.1,2012,9
402,2013.0833333,7.6,2175.03,3,24.96305,121.51254,27.7,2013,2
409,2013.4166667,18.5,2175.744,3,24.9633,121.51243,28.1,2013,6
296,2013.1666667,18.2,2179.59,3,24.96299,121.51252,21.8,2013,3
78,2012.8333333,20.5,2185.128,3,24.96322,121.51237,25.6,2012,11
278,2013.4166667,21.2,2185.128,3,24.96322,121.51237,27.7,2013,6
370,2012.6666667,20.2,2185.128,3,24.96322,121.51237,22.8,2012,9
235,2013.25,8,2216.612,4,24.96007,121.51361,23.9,2013,4
366,2012.9166667,17.3,2261.432,4,24.96182,121.51222,29.5,2012,12
21,2013.4166667,4.5,2275.877,3,24.96314,121.51151,29.3,2013,6
