Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,CollegeNames,AcceptRate
Yes,1660,1232,721,23,52,2885,537,7440,3300,450,2200,70,78,18.1,12,7041,60,Abilene Christian University,0.742168674698795
Yes,1428,1097,336,22,50,1036,99,11250,3750,400,1165,53,66,12.9,30,8735,54,Adrian College,0.768207282913165
Yes,417,349,137,60,89,510,63,12960,5450,450,875,92,97,7.7,37,19016,59,Agnes Scott College,0.836930455635492
Yes,193,146,55,16,44,249,869,7560,4120,800,1500,76,72,11.9,2,10922,15,Alaska Pacific University,0.756476683937824
Yes,353,340,103,17,45,416,230,13290,5720,500,1500,90,93,11.5,26,8861,63,Albertus Magnus College,0.963172804532578
Yes,1899,1720,489,37,68,1594,32,13868,4826,450,850,89,100,13.7,37,11487,73,Albion College,0.905739863085835
Yes,1038,839,227,30,63,973,306,15595,4400,300,500,79,84,11.3,23,11644,80,Albright College,0.808285163776493
Yes,582,498,172,21,44,799,78,10468,3380,660,1800,40,41,11.5,15,8991,52,Alderson-Broaddus College,0.855670103092784
Yes,2652,1900,484,44,77,1707,44,17080,4440,400,600,73,91,9.9,41,11711,76,Allegheny College,0.716440422322775
Yes,1179,780,290,38,64,1130,638,9690,4785,600,1000,60,84,13.3,21,7940,74,Allentown Coll. of St. Francis de Sales,0.661577608142494
Yes,1420,1093,220,9,22,1018,287,8700,4780,450,1400,78,84,14.7,19,7355,69,American International College,0.769718309859155
Yes,4302,992,418,83,96,1593,5,19760,5300,660,1598,93,98,8.4,63,21424,100,Amherst College,0.230590423059042
Yes,1216,908,423,19,40,1819,281,10100,3520,550,1100,48,61,12.1,14,7994,59,Anderson University,0.74671052631579
Yes,713,661,252,25,44,712,23,15476,3336,400,1100,69,82,11.3,35,42926,48,Antioch University,0.927068723702665
No,12809,10308,3761,24,49,22593,7585,7434,4850,700,2100,88,93,18.9,5,4602,48,Arizona State University Main campus,0.804746662502928
Yes,708,334,166,46,74,530,182,8644,3922,500,800,79,88,12.6,24,14579,54,Arkansas College (Lyon College),0.471751412429379
No,1734,1729,951,12,52,3602,939,3460,2650,450,1000,57,60,19.6,5,4739,48,Arkansas Tech University,0.997116493656286
Yes,2135,1700,491,23,59,1708,689,12000,5920,500,500,93,93,13.8,30,7100,88,Assumption College,0.796252927400468
No,7548,6791,3070,25,57,16262,1716,6300,3933,600,1908,85,91,16.7,18,6642,69,Auburn University-Main Campus,0.899708532061473
Yes,662,513,257,12,30,2074,726,11902,4372,540,950,65,65,12.8,31,7836,58,Augsburg College,0.774924471299094
Yes,1879,1658,497,36,69,1950,38,13353,4173,540,821,78,83,12.7,40,9220,71,Augustana College IL,0.882384246939862
Yes,761,725,306,21,58,1337,300,10990,3244,600,1021,66,70,10.4,30,6871,69,Augustana College,0.9526938239159
Yes,948,798,295,42,74,1120,15,11280,4342,400,1150,81,95,13,33,11361,71,Austin College,0.841772151898734
Yes,627,556,172,16,40,777,538,9925,4135,750,1350,59,67,22.4,11,6523,48,Averett College,0.886762360446571
Yes,602,483,206,21,47,958,466,8620,4100,400,2250,58,68,11,21,6136,65,Baker University,0.802325581395349
Yes,1690,1366,662,30,61,2718,1460,10995,4410,1000,1000,68,74,17.6,20,8086,85,Baldwin-Wallace College,0.808284023668639
Yes,261,192,111,15,36,453,266,9690,4300,500,500,57,77,9.7,35,9337,71,Barat College,0.735632183908046
Yes,1910,838,285,50,85,1004,15,19264,6206,750,750,98,98,10.4,30,13894,79,Bard College,0.438743455497382
Yes,2496,1402,531,53,95,2121,69,17926,8124,600,850,83,93,10.3,33,12580,91,Barnard College,0.561698717948718
Yes,990,784,279,18,45,1811,3144,11290,5360,600,1800,76,78,12.6,11,9084,72,Barry University,0.791919191919192
Yes,6075,5349,2367,34,66,9919,484,6450,3920,600,1346,71,76,18.5,38,7503,72,Baylor University,0.880493827160494
Yes,1163,850,348,23,56,878,519,12850,5400,400,800,78,89,12.2,30,8954,73,Beaver College,0.730868443680138
Yes,1220,974,481,28,67,1964,623,7800,3664,650,900,61,61,11.1,19,7614,49,Belmont University,0.798360655737705
No,1208,877,546,12,36,3796,824,4425,2700,660,1800,57,62,19.6,16,3752,46,Bemidji State University,0.725993377483444
Yes,632,620,222,14,24,702,501,9550,3850,350,250,64,84,14.1,18,5922,58,Benedictine College,0.981012658227848
Yes,519,327,114,25,53,457,2,21700,4100,600,500,35,59,10.1,33,16364,55,Bennington College,0.630057803468208
Yes,3466,2330,640,20,60,3095,1533,13800,5510,630,850,87,87,17.5,20,10941,82,Bentley College,0.672244662435084
Yes,1858,1221,480,37,68,1620,49,8050,3940,350,2375,80,80,16.3,17,10511,63,Berry College,0.657158234660926
Yes,878,816,200,16,41,706,62,8740,3363,550,1700,62,68,11.6,29,7718,48,Bethany College,0.929384965831435
Yes,202,184,122,19,42,537,101,8540,3580,500,1400,61,80,8.8,32,8324,56,Bethel College KS,0.910891089108911
Yes,1646,1150,542,12,30,2128,82,5188,3396,650,2500,48,48,13.8,9,6817,58,Bethune Cookman College,0.698663426488457
Yes,805,588,287,67,88,1376,207,11660,4325,400,900,74,79,14,34,8649,72,Birmingham-Southern College,0.730434782608696
Yes,377,358,181,15,30,653,129,7150,4350,450,1500,61,67,17.8,3,6259,53,Bluefield College,0.949602122015915
Yes,692,514,209,20,50,760,81,9900,3990,400,900,76,71,13.3,19,9073,58,Bluffton College,0.742774566473988
Yes,20192,13007,3810,45,80,14971,3113,18420,6810,475,1025,80,81,11.9,16,16836,72,Boston University,0.644166006339144
Yes,3356,1019,418,76,100,1490,8,19030,5885,1495,875,93,96,11.2,52,20447,96,Bowdoin College,0.303635280095352
No,9251,7333,3076,14,45,13699,1213,7452,3352,600,1700,81,89,21.1,14,6918,67,Bowling Green State University,0.792671062587828
Yes,443,330,151,5,36,453,42,14080,6270,500,900,57,80,10.2,21,15387,46,Bradford College,0.744920993227991
Yes,3767,3414,1061,30,58,4531,643,10870,4440,2000,1522,75,81,14.4,21,7671,85,Bradley University,0.90629147863021
Yes,4186,2743,740,48,77,2819,62,19380,6750,410,1000,90,97,9.8,24,17150,84,Brandeis University,0.65527950310559
Yes,367,274,158,12,41,917,479,9592,5879,500,700,71,80,13.7,12,5935,49,Brenau University,0.746594005449591
Yes,392,351,155,16,44,738,430,10260,3597,600,1500,39,66,13.1,26,8355,58,Briar Cliff College,0.895408163265306
Yes,838,673,292,22,53,881,55,10265,4725,560,875,68,73,13.2,24,8655,82,Bridgewater College,0.803102625298329
Yes,7365,5402,4615,48,82,27378,1253,2340,3580,860,1220,76,76,20.5,40,7916,33,Brigham Young University at Provo,0.73346911065852
Yes,12586,3239,1462,87,95,5643,349,19528,5926,720,1100,99,100,7.6,39,20440,97,Brown University,0.257349435881138
Yes,1465,810,313,71,95,1088,16,18165,6750,500,1200,100,100,12.3,49,17449,89,Bryn Mawr College,0.552901023890785
Yes,6548,3813,862,49,85,3316,31,18550,4750,800,1200,95,97,14.2,36,13675,93,Bucknell University,0.582315210751375
Yes,860,688,285,32,70,1928,442,13306,3797,450,950,62,69,8.8,10,6333,78,Buena Vista College,0.8
Yes,599,494,224,8,28,1035,446,10518,6250,300,300,59,76,16.5,36,7117,71,Cabrini College,0.824707846410685
Yes,1011,604,213,17,42,693,868,8900,4600,425,1000,87,96,13.9,25,7922,55,Caldwell College,0.597428288822948
No,7811,3817,1650,47,73,12911,1404,7380,4877,612,2091,72,81,19.8,13,8453,59,California Polytechnic-San Luis,0.488669824606324
No,4540,3294,1483,5,60,13494,1254,7706,4368,600,1926,90,90,21.2,8,7268,61,California State University at Fresno,0.725550660792952
Yes,2087,1339,657,20,54,3191,1204,7550,2790,600,500,77,77,21.8,34,3739,63,Campbell University,0.641590800191663
Yes,2853,2193,753,16,34,2978,434,10750,5340,400,1130,90,92,14.6,26,7972,64,Canisius College,0.768664563617245
Yes,1747,1382,449,34,66,1662,960,13050,4000,500,800,64,69,12.1,27,9557,83,Capital University,0.79107040641099
Yes,2694,1579,489,75,93,1870,12,19292,3957,550,550,81,93,10.4,60,17960,91,Carleton College,0.58611729769859
Yes,1160,991,352,19,55,1357,737,12200,3880,480,930,74,81,17.8,25,7666,79,Carroll College,0.854310344827586
Yes,1096,951,464,27,62,1776,239,8150,3150,400,500,61,62,13.6,16,6716,67,Carson-Newman College,0.867700729927007
Yes,1616,1427,434,20,43,1405,580,13125,3775,500,1300,74,89,15.9,22,7364,62,Carthage College,0.883044554455445
Yes,3877,3156,713,71,93,3051,513,15700,4730,525,1460,95,95,2.9,29,19733,67,Case Western Reserve University,0.814031467629611
No,1257,940,363,9,22,1547,294,7656,4690,400,700,89,91,14.7,8,6318,79,Castleton State College,0.747812251392204
Yes,1083,880,291,13,34,915,80,9270,4100,600,1860,75,82,13.5,27,8425,55,Catawba College,0.812557710064635
Yes,1754,1465,505,24,49,2159,211,13712,6408,526,1100,90,96,9.3,18,12751,75,Catholic University of America,0.835233751425314
Yes,3847,3433,527,9,35,1010,12,9384,4840,600,500,22,47,14.3,20,7697,118,Cazenovia College,0.89238367559137
Yes,776,607,198,25,58,791,764,14340,5285,500,1000,58,83,11.7,39,10961,74,Cedar Crest College,0.782216494845361
Yes,1307,1090,616,25,55,2196,82,7344,4410,570,1000,50,52,15.3,34,6897,64,Cedarville College,0.833970925784239
Yes,601,396,203,1,20,525,323,11230,6643,2340,620,8,58,6.8,4,13025,47,Center for Creative Studies,0.658901830282862
Yes,1283,1113,401,31,65,1355,40,10938,3660,650,600,76,90,13.5,29,8444,67,Central College,0.867498051441933
No,4158,2532,902,6,24,6394,3881,5962,4444,500,985,69,73,16.7,4,4900,49,Central Connecticut State University,0.608946608946609
No,4681,4101,1436,10,35,8094,1596,4620,3288,300,2250,69,80,19.7,4,5501,50,Central Missouri State University,0.876094851527451
Yes,174,146,88,8,29,1047,33,8300,3080,600,600,62,62,15.2,18,3365,58,Central Wesleyan College,0.839080459770115
Yes,959,771,351,23,48,1662,209,16624,5895,600,1100,72,80,12.8,6,12692,47,Chapman University,0.803962460896767
Yes,212,197,91,28,56,471,148,13500,5230,400,850,95,98,9.3,37,16095,52,Chatham College,0.929245283018868
Yes,342,254,126,25,64,518,232,10335,5015,700,850,71,71,8.3,29,7729,73,Chestnut Hill College,0.742690058479532
Yes,81,72,51,33,71,139,3,8730,3600,400,800,92,92,9.3,17,10922,58,Christendom College,0.888888888888889
No,883,766,428,3,37,2910,1749,7860,4750,525,1889,80,82,21.2,16,4639,48,Christopher Newport University,0.867497168742922
Yes,1196,697,499,21,47,959,13,4412,2460,500,1000,69,69,16.9,31,7083,21,Claflin College,0.582775919732442
Yes,1860,767,227,71,93,887,1,17000,6010,500,850,99,99,9.6,52,18443,87,Claremont McKenna College,0.412365591397849
Yes,2887,2059,457,30,61,1928,296,17500,4200,500,950,94,95,10.5,35,11951,79,Clark University,0.713197090405265
Yes,460,340,167,14,45,604,350,10740,3676,350,900,67,71,11,27,7963,74,Clarke College,0.739130434782609
Yes,2174,1953,557,35,68,2332,53,15960,5580,700,1300,95,95,15.8,32,11659,77,Clarkson University,0.898344066237351
No,8065,5257,2301,37,65,11755,770,8116,3610,800,1618,82,88,18,17,7597,73,Clemson University,0.651828890266584
No,689,561,250,15,30,1125,422,7168,3689,600,1900,67,67,18.1,9,4417,46,Clinch Valley Coll. of  the Univ. of Virginia,0.81422351233672
Yes,1006,742,275,29,60,1127,205,13925,4390,500,2200,73,86,12.7,32,10141,67,Coe College,0.737574552683897
Yes,4856,2492,727,46,75,2649,25,19510,5565,500,750,95,98,10.5,45,15494,93,Colgate University,0.513179571663921
No,4772,3140,1265,22,55,6851,1200,6120,3460,666,2316,73,78,17.2,18,4776,51,College of Charleston,0.658005029337804
Yes,798,620,238,14,41,1165,1232,9800,4430,400,1150,46,46,11.1,35,6889,100,College of Mount St. Joseph,0.776942355889724
Yes,946,648,177,23,46,707,432,11790,5770,500,1000,75,77,11.9,35,10015,83,College of Mount St. Vincent,0.684989429175476
Yes,344,264,97,11,42,500,331,12600,5520,630,2250,77,80,10.4,7,9773,43,College of Notre Dame,0.767441860465116
Yes,457,356,177,35,61,667,1983,11180,5620,600,700,64,64,11.5,32,7477,75,College of Notre Dame of Maryland,0.778993435448578
Yes,938,864,511,29,62,1715,103,12247,4221,500,600,70,88,13.1,26,8847,72,College of Saint Benedict,0.921108742004264
Yes,511,411,186,23,51,1692,562,12224,4440,450,1000,63,87,11.5,32,7315,77,College of Saint Catherine,0.804305283757339
Yes,983,664,249,23,57,1698,894,9990,5666,800,1500,66,71,14.3,28,6084,64,College of Saint Rose,0.675483214649034
Yes,546,447,189,16,42,873,683,11138,4138,600,1200,40,74,14,7,8820,80,College of Santa Fe,0.818681318681319
Yes,672,596,278,29,60,1350,275,11844,3696,450,1146,54,76,11.6,33,8996,72,College of St. Scholastica,0.886904761904762
Yes,2994,1691,659,70,95,2675,22,18000,6300,400,900,92,96,11.3,55,12138,95,College of the Holy Cross,0.564796259185037
No,7117,3106,1217,68,88,5186,134,11720,4298,600,800,89,92,12.1,31,9534,93,College of William and Mary,0.436419839820149
Yes,3207,1577,490,56,87,1892,7,17142,4190,450,1200,85,97,11.3,51,14664,84,Colorado College,0.491736825693795
No,9478,6312,2194,29,65,15646,1829,8412,4180,470,1800,87,89,19.2,10,7850,59,Colorado State University,0.665963283393121
Yes,314,158,132,10,28,690,5346,8294,3700,400,900,87,87,15.3,2,5015,37,Columbia College MO,0.503184713375796
Yes,737,614,242,21,67,968,237,10425,3975,500,1500,61,77,14.7,34,8693,76,Columbia College,0.833107191316147
Yes,6756,1930,871,78,96,3376,55,18624,6664,550,300,97,98,5.9,21,30639,99,Columbia University,0.28567199526347
Yes,281,266,139,13,29,1049,181,10500,3750,450,950,69,75,12.8,18,6955,45,Concordia College at St. Paul,0.946619217081851
Yes,232,216,106,16,34,534,172,6900,3800,450,1825,67,76,12.1,9,6875,42,Concordia Lutheran College,0.931034482758621
Yes,688,497,144,30,75,641,101,10800,4440,570,1515,55,60,13.1,13,8415,55,Concordia University CA,0.722383720930233
Yes,528,403,186,22,56,1168,145,9216,4191,400,1000,56,64,12.1,13,7309,75,Concordia University,0.763257575757576
Yes,3035,1546,438,42,93,1630,232,18740,6300,600,500,86,95,10.7,40,14773,91,Connecticut College,0.509390444810544
Yes,2967,2836,876,30,60,3450,644,10628,4372,650,2055,85,90,6.5,32,22906,85,Creighton University,0.955847657566565
Yes,1576,1110,274,24,55,992,112,8000,3700,400,500,51,52,14.1,28,5807,51,Culver-Stockton College,0.704314720812183
Yes,995,789,398,26,47,1306,122,6230,3526,400,600,42,44,13,4,8189,63,Cumberland College,0.792964824120603
Yes,866,619,157,18,47,1074,336,8920,4310,680,1320,68,68,14.6,42,6898,46,D'Youville College,0.714780600461894
Yes,504,482,185,10,36,550,84,9130,3322,450,1450,46,51,12.6,25,8686,54,Dana College,0.956349206349206
Yes,571,461,174,10,26,645,283,10850,3670,400,1159,58,60,12.8,19,7505,56,Defiance College,0.807355516637478
No,967,945,459,15,48,2806,538,4528,1880,500,1200,49,63,17.1,16,5113,58,Delta State University,0.977249224405377
Yes,2762,2279,533,32,60,1835,14,16900,4720,500,600,88,97,11.6,45,12423,81,Denison University,0.825126719768284
Yes,3014,2539,487,31,68,1889,62,18700,5000,595,1250,87,94,11.2,39,13861,87,Dickinson College,0.842402123424021
Yes,604,562,328,25,50,1048,56,9800,2650,450,2800,61,60,12.5,17,7325,87,Dordt College,0.93046357615894
Yes,1011,829,410,9,33,1059,2458,9000,3100,450,1413,77,78,12.4,7,11178,42,Dowling College,0.81998021760633
Yes,2799,2573,839,34,65,3322,726,13420,4770,560,1675,88,93,15,24,9473,77,Drake University,0.919256877456234
Yes,2153,1580,321,56,84,1192,87,18432,5616,520,660,93,97,10.2,28,14907,83,Drew University,0.733859730608453
Yes,700,650,314,33,66,1065,48,8730,3523,500,750,82,92,13.2,35,9303,67,Drury College,0.928571428571429
Yes,13789,3893,1583,90,98,6188,53,18590,5950,625,1162,95,96,5,44,27206,97,Duke University,0.282326492131409
Yes,1358,1006,274,35,63,1028,13,15036,4056,600,600,90,94,10.6,46,14634,78,Earlham College,0.74079528718704
No,9274,6362,2435,14,44,13171,1687,7248,3240,500,1700,74,78,13.2,18,9002,58,East Carolina University,0.686003881820142
No,3330,2730,1303,15,36,6706,2640,5800,3000,600,2200,73,75,14,9,9825,42,East Tennessee State University,0.81981981981982
Yes,379,341,265,10,36,1050,151,4950,2780,530,1500,62,62,15.7,7,5619,38,East Texas Baptist University,0.899736147757256
Yes,458,369,165,16,42,1057,355,11190,4800,450,1230,60,60,13.6,22,8135,54,Eastern College,0.805676855895197
No,2172,1493,564,14,50,2766,1531,5962,4316,650,500,71,76,16.9,14,5719,50,Eastern Connecticut State University,0.687384898710866
Yes,486,440,227,19,48,903,59,9650,3800,600,1300,46,65,11.4,29,10188,82,Eastern Mennonite College,0.905349794238683
Yes,1422,1109,366,33,65,1363,23,15360,4080,600,1000,82,89,12.8,26,15003,59,Eckerd College,0.779887482419128
Yes,2417,1843,426,36,70,1476,299,14190,4400,500,750,65,68,12.8,25,9815,81,Elizabethtown College,0.762515515101365
Yes,3624,2786,858,11,39,2933,334,9100,3883,490,1777,70,74,18.9,34,6329,63,Elon College,0.768763796909492
Yes,3151,2584,958,14,40,4772,856,7800,3750,570,3020,37,43,16.5,4,12878,44,Embry Riddle Aeronautical University,0.82005712472231
Yes,765,646,226,30,60,809,32,8578,4408,700,1600,79,88,13.9,51,8061,82,Emory & Henry College,0.844444444444445
Yes,8506,4168,1236,76,97,5544,192,17600,6000,600,870,97,98,5,28,28457,96,Emory University,0.490007053844345
No,1256,1256,853,43,79,3957,588,5401,3144,450,1888,72,75,19.3,4,5527,50,Emporia State University,1
Yes,659,557,167,47,74,532,35,10485,3840,475,1246,76,80,13.5,47,7527,67,Erskine College,0.845220030349014
Yes,560,454,113,36,56,484,16,10955,3450,330,670,62,87,10.6,31,9552,53,Eureka College,0.810714285714286
No,1801,1101,438,14,50,3065,363,6297,4600,600,1323,75,78,18.1,14,8355,68,Evergreen State College,0.611327040533037
Yes,4784,3346,781,30,66,2984,1037,15000,6200,700,1100,86,90,15.1,30,11220,94,Fairfield University,0.699414715719064
No,1455,1064,452,1,16,2632,617,6806,2550,350,766,75,75,15.1,10,6972,24,Fayetteville State University,0.73127147766323
Yes,1339,1107,336,12,36,1051,82,9400,4200,500,1600,53,58,12.5,9,7967,22,Ferrum College,0.826736370425691
Yes,1415,714,338,18,52,1345,44,5120,3200,500,2140,52,60,18.1,9,3930,69,Flagler College,0.504593639575972
Yes,1947,1580,523,39,74,1863,233,13900,4140,750,1500,90,90,10.6,7,8923,57,Florida Institute of Technology,0.811504879301489
No,3306,2079,1071,42,89,10208,9310,6597,2494,800,3028,81,96,13.9,20,6722,66,Florida International University,0.628856624319419
Yes,1381,1040,374,20,44,1506,970,8025,4865,400,650,65,74,17.4,10,6339,68,Florida Southern College,0.753077480086894
Yes,291,245,126,16,49,981,337,8390,4100,350,1500,45,55,21.5,24,4607,62,Fontbonne College,0.84192439862543
No,1801,1655,819,13,38,3224,436,5840,3138,400,2430,76,76,19.1,8,5039,43,Francis Marion University,0.918933925596891
Yes,553,452,228,22,49,1301,242,9650,4400,600,1000,57,69,14.9,8,6336,83,Franciscan University of Steubenville,0.817359855334539
Yes,5187,4471,446,3,14,1818,1197,13320,4630,500,800,50,56,17.6,16,6418,51,Franklin Pierce College,0.861962598804704
Yes,895,548,314,20,54,1174,50,5500,3340,600,1600,68,76,16.1,13,6078,62,Freed-Hardeman University,0.612290502793296
Yes,2161,1951,685,56,82,2371,175,13440,4048,600,1250,92,95,13.5,28,12940,82,Furman University,0.90282276723739
Yes,2464,1908,678,24,57,2693,691,10970,4280,500,1380,47,51,13.3,18,7711,65,Gannon University,0.774350649350649
Yes,1110,930,332,18,36,1603,374,8180,4270,500,500,65,58,15.2,12,5664,29,Gardner Webb University,0.837837837837838
Yes,668,534,237,19,39,1306,258,9476,4820,500,1100,67,67,20.1,26,6786,74,Geneva College,0.79940119760479
Yes,809,726,294,27,52,1271,43,12500,4130,400,1050,53,53,13.5,22,7136,52,George Fox College,0.897404202719407
No,5653,4326,1727,17,29,9528,3822,10800,4840,580,1050,93,96,19.3,7,6751,46,George Mason University,0.765257385459048
Yes,7875,5062,1492,38,71,5471,1470,17450,6328,700,950,92,93,7.6,15,14745,72,George Washington University,0.642793650793651
Yes,11115,2881,1390,71,93,5881,406,18300,7131,670,1700,91,92,7.2,27,19635,95,Georgetown University,0.259199280251912
No,7837,4527,2276,89,99,8528,654,6489,4438,795,1164,92,92,19.3,33,11271,70,Georgia Institute of Technology,0.577644506826592
Yes,3596,2466,575,42,78,1944,46,19964,4328,500,500,94,95,12.1,32,14720,83,Gettysburg College,0.685761957730812
Yes,633,468,284,10,27,823,963,6120,2985,531,1830,25,25,27.6,4,6081,36,Goldey Beacom College,0.739336492890995
Yes,1886,1524,526,31,67,2523,296,13000,4450,600,2400,78,90,14.7,32,9553,69,Gonzaga University,0.808059384941675
Yes,674,565,282,25,54,1151,39,12200,4070,400,1200,73,82,14.2,32,9226,66,Gordon College,0.838278931750742
Yes,440,396,221,26,51,910,166,9420,3730,600,1230,51,56,9.9,46,10270,72,Goshen College,0.9
Yes,1151,813,248,40,64,850,80,15588,6174,500,1200,78,90,9.2,34,16623,77,Goucher College,0.706342311033884
Yes,548,428,167,18,46,618,113,8958,3670,300,1000,53,59,15.3,26,9798,64,Grace College and Seminary,0.781021897810219
No,5165,3887,1561,20,60,8234,2619,6108,3800,500,1000,64,66,20.6,9,5063,57,Grand Valley State University,0.752565343659245
Yes,780,628,198,7,20,545,42,11750,2700,400,850,77,83,14,24,6475,76,Green Mountain College,0.805128205128205
Yes,608,494,176,10,31,649,314,8330,3770,550,1300,64,80,13,31,7949,39,Greensboro College,0.8125
Yes,2491,1110,573,57,88,2213,35,5224,3048,525,350,65,65,18.4,18,4957,100,Grove City College,0.445604175030108
Yes,1202,1054,326,18,44,1410,299,13404,5160,450,1050,78,86,15.6,30,9114,65,Guilford College,0.876871880199667
Yes,1709,1385,634,36,72,2281,50,14125,3600,400,700,79,89,12.5,58,9907,80,Gustavus Adolphus College,0.810415447630193
Yes,380,237,104,30,56,716,1108,11000,5550,500,500,36,41,7.8,22,7483,96,Gwynedd Mercy College,0.623684210526316
Yes,3140,1783,454,40,82,1646,24,19700,5050,300,800,91,96,9.6,60,17761,91,Hamilton College,0.567834394904459
Yes,817,644,307,20,40,945,1,13218,4773,660,600,95,97,13.3,53,12263,69,Hampden - Sydney College,0.788249694002448
Yes,1006,837,317,33,65,1024,15,8200,3485,500,1200,84,84,10.6,26,9248,64,Hanover College,0.832007952286282
Yes,467,424,350,16,40,1365,334,6300,2980,700,2140,75,79,13.7,10,7054,38,Hardin-Simmons University,0.907922912205567
Yes,1721,1068,806,35,75,3128,213,5504,3528,700,910,71,77,17.7,37,6466,73,Harding University,0.620569436374201
Yes,2083,1725,430,22,49,1464,67,17480,4780,500,700,75,87,12.3,32,11625,73,Hartwick College,0.828132501200192
Yes,13865,2165,1606,90,100,6862,320,18485,6410,500,1920,97,97,9.9,52,37219,100,Harvard University,0.156148575549946
Yes,1377,572,178,95,100,654,5,17230,6690,700,900,100,100,8.2,46,21569,100,Harvey Mudd College,0.415395787944808
Yes,823,721,274,52,87,954,6,8800,3195,500,1200,82,99,13.1,26,8588,63,Hendrix College,0.876063183475091
Yes,920,745,347,35,66,1133,42,11090,4700,400,750,80,80,12,31,12639,79,Hillsdale College,0.809782608695652
Yes,2688,2081,500,25,53,1792,5,19029,5841,600,600,99,99,12.1,37,13040,79,Hobart and William Smith Colleges,0.774181547619048
Yes,7428,5860,1349,25,63,6534,1350,11600,5920,1000,1000,81,90,13.9,10,10093,60,Hofstra University,0.788906838987614
Yes,699,565,176,36,64,710,399,13960,6040,450,690,82,88,14.4,34,12434,72,Hood College,0.80829756795422
Yes,1712,1483,624,37,69,2505,208,12275,4341,465,1100,72,81,12.5,40,9284,72,Hope College,0.866238317757009
Yes,949,786,302,30,70,1210,26,9990,3550,500,1500,85,90,15,24,8187,67,Houghton College,0.828240252897787
Yes,450,430,125,20,46,488,43,9950,3920,300,1300,76,76,11.8,25,9466,47,Huntington College,0.955555555555556
Yes,600,197,124,3,9,392,69,7260,3090,600,1840,31,35,12.9,4,9249,21,Huron University,0.328333333333333
Yes,723,652,361,10,30,951,706,7800,4000,350,1500,36,44,22,4,4923,84,Husson College,0.90179806362379
