Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,CollegeNames,AcceptRate
Yes,607,558,269,22,47,1222,519,10500,4348,650,1500,81,91,11.6,29,8324,75,Illinois Benedictine College,0.919275123558484
Yes,894,787,262,28,63,909,28,8050,3850,600,1000,75,75,15.6,30,7348,52,Illinois College,0.880313199105146
Yes,1756,1360,478,42,77,1911,626,14550,4620,500,700,80,88,12.3,26,12851,56,Illinois Institute of Technology,0.774487471526196
No,8681,6695,2408,10,35,15701,1823,7799,3403,537,2605,77,84,21,16,5569,54,Illinois State University,0.771224513304919
Yes,3050,1342,471,55,86,1818,23,14360,4090,400,650,77,92,12.9,34,9605,83,Illinois Wesleyan University,0.44
Yes,268,253,103,16,44,494,1305,10000,5364,500,1000,56,64,11.2,33,7305,69,Immaculata College,0.944029850746269
No,5659,4761,3147,10,31,8596,1949,6892,3706,600,2500,72,76,16.6,8,6996,40,Indiana State University,0.841314719915179
No,16587,13243,5873,25,72,24763,2717,9766,3990,600,2000,77,88,21.3,24,8686,68,Indiana University at Bloomington,0.798396334478809
Yes,4892,3530,913,13,33,3906,1446,10690,6790,570,1150,66,83,16,14,8107,66,Iona College,0.721586263286999
No,8427,7424,3441,26,59,18676,1715,7550,3224,640,2055,81,88,19.2,22,8420,65,Iowa State University,0.880977809422096
Yes,7259,5526,1368,23,52,5612,166,14424,6192,634,1000,58,79,11.5,25,9812,75,Ithaca College,0.761261881801901
No,11223,5285,2082,32,72,9652,742,7994,4544,500,732,77,81,17.9,29,5212,98,James Madison University,0.470907956874276
Yes,472,410,262,14,41,9950,71,7620,3050,400,400,51,53,17,21,3186,54,Jamestown College,0.86864406779661
No,2957,1423,691,10,30,3817,1394,3946,4800,400,1500,63,67,14.9,10,8367,26,Jersey City State College,0.481230977341901
Yes,605,405,284,24,53,961,99,6398,3672,400,1350,68,68,13.3,19,8118,75,John Brown University,0.669421487603306
Yes,2421,2109,820,27,57,3168,392,11700,5550,600,450,89,90,14.5,28,7738,89,John Carroll University,0.871127633209418
Yes,8474,3446,911,75,94,3566,1569,18800,6740,500,1040,96,97,3.3,38,56233,90,Johns Hopkins University,0.406655652584376
No,833,669,279,3,13,1224,345,7656,4690,500,624,80,91,14.4,15,6564,36,Johnson State College,0.8031212484994
Yes,313,228,137,10,30,552,67,9414,4554,500,1700,34,55,10.6,30,7840,56,Judson College,0.728434504792332
Yes,1005,859,298,36,55,1075,43,14850,4460,450,420,97,97,12.7,37,12067,80,Juniata College,0.854726368159204
No,5880,4075,2833,25,55,14914,2246,6995,3120,600,2000,76,86,18.5,22,6122,54,Kansas State University,0.693027210884354
Yes,589,575,148,16,40,474,258,8400,3250,500,1400,63,55,12.4,14,6535,68,Kansas Wesleyan University,0.976230899830221
No,3121,2446,822,5,19,3480,776,7870,4157,500,1150,73,73,16.1,13,6195,61,Keene State College,0.783723165652035
Yes,584,497,175,20,49,662,121,8000,4150,500,1300,57,65,11.3,32,7058,62,Kentucky Wesleyan College,0.851027397260274
Yes,2212,1538,408,44,75,1445,1,19240,3690,750,480,95,95,11.1,46,14067,88,Kenyon College,0.695298372513562
Yes,461,381,174,10,43,738,55,9600,4550,600,750,55,94,13.3,43,7863,51,Keuka College,0.82646420824295
Yes,355,300,142,34,65,509,44,8664,3350,600,3000,65,68,10.7,25,8954,65,King College,0.845070422535211
Yes,4010,2402,572,36,59,2018,226,18730,5740,600,1000,93,96,10.5,38,15365,92,Lafayette College,0.599002493765586
Yes,979,638,271,31,70,968,20,16880,3970,920,1320,91,94,10.7,19,15687,77,Lake Forest College,0.651685393258427
Yes,497,452,231,24,47,887,1957,9400,4005,500,1000,49,65,17.2,25,4054,57,Lakeland College,0.909456740442656
Yes,831,538,224,15,35,840,325,5170,3430,600,1590,61,61,16.1,10,5531,60,Lambuth University,0.647412755716005
No,1166,1009,510,9,33,2074,341,4938,2987,528,1702,67,77,17,11,6119,51,Lander University,0.865351629502573
Yes,1243,947,324,50,77,1129,74,17163,3891,525,975,76,92,10.1,57,13965,77,Lawrence University,0.761866452131939
Yes,1470,1199,425,21,76,1820,558,11040,4840,400,900,89,92,13.3,28,8118,94,Le Moyne College,0.815646258503401
Yes,6397,4304,1092,40,84,4298,132,18700,5580,750,1130,96,99,12.5,43,14665,91,Lehigh University,0.672815382210411
Yes,979,743,259,25,46,1188,166,10100,4000,400,1000,88,92,12,20,8539,66,Lenoir-Rhyne College,0.758937691521961
Yes,477,417,204,29,54,1532,77,8840,4240,600,1400,58,70,20.8,23,6863,56,LeTourneau University,0.874213836477987
Yes,1154,1050,395,12,31,2192,1423,10560,4520,500,1200,36,48,14.3,10,7701,61,Lewis University,0.909878682842288
Yes,787,562,363,21,55,925,605,5950,2890,600,1300,67,72,14.6,35,5177,53,Lincoln Memorial University,0.714104193138501
No,1660,1091,326,15,41,1196,33,4818,3400,350,1400,71,72,12.6,8,10912,45,Lincoln University,0.657228915662651
Yes,810,484,356,6,33,2155,191,9200,4800,1000,4200,65,85,24.1,9,3480,100,Lindenwood College,0.597530864197531
Yes,1561,1188,458,48,72,1548,840,13380,4210,500,900,89,91,17.8,34,8747,81,Linfield College,0.761050608584241
Yes,900,473,217,22,47,621,11,4400,3400,800,900,53,93,10.4,16,9268,92,Livingstone College,0.525555555555556
No,3570,2215,651,17,41,3390,325,7352,3620,225,500,47,55,16.1,14,6374,63,Lock Haven University of Pennsylvania,0.620448179271709
No,2747,1870,724,12,47,2874,118,7920,3962,550,2200,74,80,18.4,23,5553,62,Longwood College,0.680742628321806
Yes,1641,1283,527,20,39,1663,170,11200,4000,500,1200,61,62,14.2,24,7578,70,Loras College,0.781840341255332
Yes,2013,1053,212,33,61,912,158,5150,3036,500,1655,64,74,10.5,11,7547,59,Louisiana College,0.523099850968703
No,2397,2144,1525,22,45,6720,1822,3957,2325,618,1656,66,77,20,13,4546,45,Louisiana Tech University,0.894451397580309
Yes,4076,3137,738,25,54,3010,184,12990,6300,600,900,86,88,14.7,27,9448,80,Loyola College,0.769627085377822
Yes,1891,1698,719,24,80,2740,761,11100,5870,600,750,77,88,11.7,14,9456,53,Loyola University,0.897937599153887
Yes,3579,2959,868,25,55,5244,3417,11500,5330,700,2000,94,95,6.2,15,13009,65,Loyola University Chicago,0.826767253422744
Yes,1286,1005,363,16,37,1363,74,13900,4300,500,900,75,81,14,32,8024,72,Lycoming College,0.78149300155521
No,535,502,223,6,20,959,150,7320,4640,500,600,48,65,12.6,15,7114,51,Lyndon State College,0.938317757009346
Yes,2939,1496,452,56,86,1723,113,15909,4772,500,700,85,91,11.9,37,14213,77,Macalester College,0.50901667233753
Yes,740,558,177,12,29,628,63,9620,3750,550,950,49,55,10.8,33,10642,59,MacMurray College,0.754054054054054
Yes,874,758,428,21,46,1605,246,9858,3700,450,1200,42,45,17.6,16,4796,55,Malone College,0.867276887871854
Yes,1004,802,239,23,63,909,51,10440,3850,525,1450,63,72,11.8,20,7940,64,Manchester College,0.798804780876494
Yes,2432,1730,563,20,63,2578,254,12370,6800,500,1800,92,92,13.6,25,10062,79,Manhattan College,0.711348684210526
Yes,962,750,212,21,54,830,150,14700,6550,450,400,97,97,11.3,24,11291,70,Manhattanville College,0.77962577962578
No,3073,2672,1547,9,29,9649,1792,4300,2643,450,1660,57,68,19,11,5801,68,Mankato State University,0.869508623494956
Yes,824,670,337,15,41,1160,653,9400,3400,500,1100,37,37,8.4,21,5352,59,Marian College of Fond du Lac,0.813106796116505
Yes,1611,960,342,27,60,1089,210,13850,3920,470,810,80,97,13.2,30,10223,96,Marietta College,0.595903165735568
Yes,4731,3171,830,12,31,3557,658,10700,5925,550,1200,74,81,17.6,34,8408,69,Marist College,0.670259987317692
Yes,5152,4600,1685,36,71,7016,804,11610,4760,600,1950,86,94,13.5,25,9982,77,Marquette University,0.892857142857143
Yes,4226,3666,2007,14,60,7703,2339,5094,4010,700,1560,77,86,16.6,10,6203,50,Marshall University,0.867486985328916
Yes,499,441,199,26,52,846,377,11200,7400,600,1300,66,79,6.8,50,10819,90,Mary Baldwin College,0.88376753507014
No,4350,2178,756,39,78,2997,736,6490,4942,650,2102,75,80,17.6,30,5358,84,Mary Washington College,0.500689655172414
Yes,478,327,117,9,34,731,370,11510,6450,575,1075,71,93,10.3,30,10502,77,Marymount College Tarrytown,0.684100418410042
Yes,695,535,239,21,30,988,785,10200,7000,350,1100,63,76,11.7,20,10622,68,Marymount Manhattan College,0.769784172661871
Yes,941,772,214,10,30,1247,776,11390,5280,500,750,77,82,10.6,17,8575,55,Marymount University,0.820403825717322
Yes,1464,888,176,26,52,624,128,11200,4208,500,1642,80,90,11.1,43,8317,51,Maryville College,0.60655737704918
Yes,549,397,169,26,51,1343,1751,9250,4550,425,1350,52,58,13.1,13,5925,61,Maryville University,0.723132969034608
Yes,1107,859,323,13,51,1452,402,11040,4500,600,700,65,76,11.8,30,9034,66,Marywood College,0.775971093044264
Yes,6411,2140,1078,96,99,4481,28,20100,5975,725,1600,99,99,10.1,35,33541,94,Massachusetts Institute of Technology,0.33380127905163
No,233,233,153,5,12,658,58,4486,2516,600,1900,68,68,15.7,11,6971,51,Mayville State University,1
Yes,1002,555,119,16,43,836,684,7680,3740,500,800,70,74,17.7,21,6652,52,McKendree College,0.553892215568862
Yes,578,411,187,25,50,880,477,6930,3452,400,1525,57,64,11,11,6383,32,McMurry University,0.711072664359862
Yes,420,293,93,11,32,336,80,7950,3750,600,2740,54,54,9.8,45,9754,48,McPherson College,0.697619047619048
Yes,1557,1074,397,15,40,1805,433,9813,4050,425,1000,45,63,16.7,29,7307,78,Mercyhurst College,0.689788053949904
Yes,1981,1541,514,18,36,1927,1084,12500,6200,375,1000,73,75,16.8,22,8707,80,Merrimack College,0.7778899545684
No,18114,15096,6180,23,57,26640,4120,10658,3734,504,600,93,95,14,9,10520,71,Michigan State University,0.833388539251408
No,2618,2288,1032,42,77,5524,414,8127,3978,900,1200,82,82,17,25,7473,65,Michigan Technological University,0.873949579831933
Yes,331,331,225,15,36,1100,166,6840,3720,1100,4913,33,33,15.4,20,5524,49,MidAmerica Nazarene College,1
No,6011,3075,960,22,60,5146,1532,7844,3830,450,1258,72,74,16.8,20,7832,71,Millersville University of Penn.,0.511562136083846
Yes,610,461,189,26,52,685,49,8200,3300,550,1000,63,69,12,16,8128,64,Milligan College,0.755737704918033
Yes,1444,1261,456,29,62,1788,95,11910,4378,450,965,60,77,11.4,25,8149,75,Millikin University,0.873268698060942
Yes,905,834,319,32,61,1073,179,11320,4402,550,1350,82,89,12.7,38,11218,58,Millsaps College,0.921546961325967
Yes,1217,1088,496,36,69,1773,884,11505,3255,1000,2075,35,46,16.7,23,7140,67,Milwaukee School of Engineering,0.894001643385374
Yes,594,385,307,36,57,1695,721,5580,2830,600,700,77,79,16.5,18,6170,61,Mississippi College,0.648148148148148
No,4255,3277,1609,18,57,10094,1621,9866,3084,480,1479,77,77,15.9,20,6223,53,Mississippi State University,0.770152761457109
No,480,405,380,19,46,1673,1014,4386,2217,600,1500,49,54,15.8,8,5704,63,Mississippi University for Women,0.84375
No,1576,1326,913,13,50,3689,2200,3840,2852,200,400,52,54,20.3,9,4172,100,Missouri Southern State College,0.841370558375635
Yes,1310,983,316,5,35,1057,175,8550,5050,400,900,35,67,17.4,16,4333,27,Missouri Valley College,0.750381679389313
Yes,601,503,204,28,57,671,11,13000,4100,400,460,91,91,11.6,43,11087,56,Monmouth College IL,0.8369384359401
Yes,2707,1881,478,14,34,1893,847,12480,5290,530,1740,70,85,14.2,15,9492,54,Monmouth College,0.694865164388622
No,572,544,320,45,72,1470,416,6073,3400,550,1400,71,71,16.4,31,6112,74,Montana College of Mineral Sci. & Tech.,0.951048951048951
No,3500,2836,1779,15,42,8730,993,5552,3710,550,2300,75,83,17.6,8,6324,37,Montana State University,0.810285714285714
Yes,263,223,103,10,24,316,20,8438,3372,500,2958,42,50,11.1,4,11989,15,Montreat-Anderson College,0.847908745247148
Yes,1232,955,303,23,58,1241,485,14990,4730,550,1250,86,92,15.2,28,9566,74,Moravian College,0.775162337662338
Yes,3708,1678,722,41,66,2852,153,7050,5490,250,600,71,74,17.8,10,8122,83,Morehouse College,0.452535059331176
Yes,586,533,239,16,36,950,228,10520,3678,500,1000,48,68,13,32,8111,56,Morningside College,0.909556313993174
Yes,882,730,330,2,13,926,12,4515,2550,850,2100,53,60,18.6,34,6990,60,Morris College,0.82766439909297
Yes,279,276,126,17,37,600,435,6844,2980,500,500,45,55,11.7,38,5073,44,Mount Marty College,0.989247311827957
Yes,235,217,121,12,32,931,487,8950,3119,550,1125,51,51,10.7,26,7016,78,Mount Mary College,0.923404255319149
Yes,325,284,95,16,33,364,88,9900,3650,500,1200,32,37,13.6,43,6525,21,Mount Saint Clare College,0.873846153846154
Yes,1321,1159,328,15,36,1243,79,12850,6200,550,900,77,82,12.8,36,8536,80,Mount Saint Mary's College,0.877365632096896
Yes,1170,695,238,14,48,1170,429,7470,4600,250,1400,74,75,15.3,23,6898,88,Mount Saint Mary College,0.594017094017094
Yes,1310,1086,458,26,61,1365,144,12250,3530,400,1150,85,87,16.7,35,7215,81,Mount Union College,0.829007633587786
No,2225,1910,1190,29,55,5968,955,4738,3110,700,940,72,76,20.2,27,5972,52,Murray State University,0.858426966292135
Yes,1109,922,375,24,46,1115,70,13240,3914,600,800,73,85,13.4,27,9333,73,Muskingum College,0.831379621280433
Yes,513,347,279,23,48,2508,505,9090,4500,650,500,62,65,18.3,2,7905,71,National-Louis University,0.676413255360624
Yes,947,798,266,36,68,1274,471,10850,5150,550,800,77,93,13.6,24,8797,61,Nazareth College of Rochester,0.842661034846885
No,1879,1216,483,27,62,3311,1646,8832,5376,700,1850,92,98,13.5,19,12529,72,New Jersey Institute of Technology,0.647152740819585
No,787,601,233,40,73,1017,411,5376,3214,600,1100,99,100,13.7,11,9241,34,New Mexico Institute of Mining and Tech.,0.763659466327827
Yes,13594,7244,2505,70,86,12408,2814,17748,7262,450,1000,87,98,7.8,16,21227,71,New York University,0.532882153891423
Yes,872,722,154,14,36,601,36,10194,2600,500,1500,57,63,11.4,32,5788,83,Newberry College,0.827981651376147
No,1563,1005,240,1,19,1380,136,5542,4330,500,1000,65,71,14.2,17,6562,57,North Adams State College,0.64299424184261
No,4809,3089,1429,12,33,6162,871,6806,1780,600,1651,72,72,16.7,9,7090,44,North Carolina A. & T. State University,0.642337284258682
No,10634,7064,3176,39,78,16505,5481,8400,6540,600,1300,92,98,17.5,21,9670,62,North Carolina State University at Raleigh,0.664284370885838
Yes,812,689,195,7,24,646,84,8242,4230,600,1295,77,77,12.7,11,10090,52,North Carolina Wesleyan College,0.848522167487685
Yes,1127,884,308,30,64,1310,766,11718,7398,450,1800,73,87,16.4,33,8871,76,North Central College,0.784383318544809
Yes,465,361,176,19,39,879,156,12580,4345,400,970,76,79,13.1,24,10889,74,North Park College,0.776344086021505
Yes,11901,8492,2517,16,42,11160,10221,13380,7425,600,1750,73,82,12.9,17,9563,46,Northeastern University,0.713553482900597
No,5891,4931,1973,23,48,11249,2682,6746,3728,620,2342,78,83,21.7,7,6157,41,Northern Arizona University,0.837039551858768
No,2729,2535,1257,8,29,4787,472,3735,3136,250,1630,62,65,21.7,23,5284,54,Northwest Missouri State University,0.928911689263466
Yes,616,514,385,29,52,1115,60,9840,2820,450,822,59,59,14.8,20,6261,58,Northwest Nazarene College,0.834415584415585
Yes,860,811,366,22,56,1040,52,9900,3075,300,1800,68,68,14.9,34,6357,68,Northwestern College,0.943023255813953
Yes,12289,5200,1902,85,98,7450,45,16404,5520,759,1585,96,100,6.8,25,26385,92,Northwestern University,0.423142647896493
Yes,379,324,107,15,37,500,311,9990,4900,400,600,44,47,12.1,26,4948,33,Notre Dame College,0.854881266490765
No,3041,2581,1173,16,56,6441,3982,9114,4030,400,650,88,90,19.7,13,6637,53,Oakland University,0.848733969089115
Yes,2324,1319,370,52,81,1686,35,16560,5140,558,1152,91,93,10.5,30,16196,79,Occidental College,0.567555938037866
Yes,2936,2342,669,35,62,2502,66,15990,4080,600,825,73,78,14.5,31,9979,83,Ohio Northern University,0.797683923705722
No,11023,8298,3183,21,54,14861,1310,7629,4095,550,2300,79,87,20.4,13,8811,64,Ohio University,0.752789621700082
Yes,758,681,484,35,59,1707,705,5390,3140,515,1290,63,71,15.1,18,5511,50,Oklahoma Baptist University,0.898416886543536
Yes,776,765,351,22,44,1419,228,6400,3150,500,1900,58,64,16.2,8,6578,45,Oklahoma Christian University,0.985824742268041
No,4522,3913,2181,29,57,12830,1658,5336,3344,800,3100,84,92,15.3,14,6433,48,Oklahoma State University,0.865325077399381
Yes,1496,1205,428,26,57,1648,936,12888,4440,420,840,62,68,13.9,30,8802,87,Otterbein College,0.80548128342246
Yes,2308,1336,295,22,46,1202,942,8530,3644,616,1576,56,64,14.9,25,7114,37,Our Lady of the Lake University,0.578856152512998
Yes,8256,3750,1522,37,70,5809,4379,11000,5160,660,1115,90,95,13.8,10,10059,62,Pace University,0.45421511627907
Yes,1603,1392,504,31,68,2580,302,13312,4488,600,1516,78,78,11,23,9431,83,Pacific Lutheran University,0.86837180286962
Yes,940,668,385,20,48,1316,139,11925,3825,630,1926,48,87,12.3,12,9157,69,Pacific Union College,0.710638297872341
No,944,774,440,14,34,2174,529,6360,2760,550,1498,77,77,15,5,6443,48,Pembroke State University,0.819915254237288
No,19315,10344,3450,48,93,28938,2025,10645,4060,512,2394,77,96,18.1,19,8992,63,Pennsylvania State Univ. Main Campus,0.535542324618172
Yes,3821,2037,680,86,96,2488,625,18200,6770,500,700,95,98,11.6,13,16185,66,Pepperdine University,0.533106516618686
No,701,501,458,10,40,959,457,2580,2624,500,900,48,100,20.1,24,4870,44,Peru State College,0.714693295292439
Yes,838,651,159,11,25,654,162,8640,3700,400,1915,62,62,12.2,13,7634,48,Pfeiffer College,0.776849642004773
Yes,1538,1259,468,19,42,1664,1042,11690,5062,600,1664,48,80,12.9,15,8028,68,Philadelphia Coll. of Textiles and Sci.,0.818595578673602
Yes,692,576,174,19,50,597,83,10500,3860,600,940,58,64,11.6,19,8990,39,Phillips University,0.832369942196532
Yes,663,562,127,20,40,641,63,5640,3620,600,750,89,89,13.2,17,7309,31,Piedmont College,0.847662141779789
Yes,404,400,169,28,48,797,100,6000,3000,500,500,48,57,13.4,14,5557,61,Pikeville College,0.99009900990099
Yes,1133,630,220,37,73,750,30,17688,5900,650,850,100,100,10.4,11,14820,73,Pitzer College,0.556045895851721
Yes,809,687,428,20,43,1889,217,10178,4190,800,750,71,71,16.1,19,7895,54,Point Loma Nazarene College,0.849196538936959
Yes,875,744,207,7,38,1173,1402,9700,4830,400,1200,45,90,14.5,10,7652,66,Point Park College,0.850285714285714
No,2405,2234,1061,10,22,4564,448,4290,3500,598,1582,55,93,19.4,1,5967,35,Prairie View A. and M. University,0.928898128898129
Yes,1082,832,302,34,63,1133,30,11859,3635,554,1429,80,85,13.4,42,8354,85,Presbyterian College,0.768946395563771
Yes,13218,2042,1153,90,98,4540,146,19900,5910,675,1575,91,96,8.4,54,28320,99,Princeton University,0.154486306551672
No,21804,18744,5874,29,60,26213,4065,9556,3990,570,1060,86,86,18.2,15,8604,67,Purdue University at West Lafayette,0.859658778205834
Yes,516,392,154,32,62,630,549,11020,4970,610,1900,73,75,14,36,9315,58,Queens College,0.75968992248062
Yes,1025,707,297,22,66,1070,72,10100,4140,450,1080,69,71,16.3,32,6880,80,Quincy University,0.689756097560976
Yes,3712,2153,806,17,45,2677,714,12030,6140,1000,500,63,73,12,33,8847,86,Quinnipiac College,0.580010775862069
No,5702,4894,1742,15,37,8077,472,6684,4110,500,900,73,83,19.6,9,4519,62,Radford University,0.858295334970186
Yes,1771,1325,306,21,46,1071,27,13840,3735,400,900,77,80,10.7,38,11080,74,Randolph-Macon College,0.748164878599661
Yes,696,616,169,35,66,653,56,13970,6110,370,920,88,97,9.2,24,16358,68,Randolph-Macon Woman's College,0.885057471264368
Yes,427,385,143,18,38,581,533,12700,5800,450,700,81,85,10.3,37,11758,84,Regis College,0.901639344262295
Yes,4996,4165,936,53,82,4291,16,17475,5976,1230,1100,94,98,15.4,21,15605,70,Rensselaer Polytechnic Institute,0.833666933546838
Yes,2302,1831,391,58,82,1345,59,15200,4768,550,1500,90,96,10.8,47,13388,77,Rhodes College,0.795395308427454
Yes,3586,2424,730,16,31,2748,1309,13250,5420,700,3100,84,92,12.3,23,11299,70,Rider University,0.675962074735081
Yes,587,501,211,28,52,735,28,15200,4100,350,650,87,90,9.4,49,12472,64,Ripon College,0.853492333901193
Yes,2227,1790,437,27,54,1460,239,13425,4425,450,1200,85,89,13,26,9405,72,Roanoke College,0.803771890435564
Yes,935,858,345,22,50,1127,754,9490,4100,500,1500,60,79,10.7,21,7519,79,Rockhurst College,0.917647058823529
Yes,560,392,270,11,31,743,118,8734,3362,600,625,56,78,11.3,27,6422,68,Rocky Mountain College,0.7
Yes,3304,2804,679,10,20,2111,1489,12520,6050,500,730,44,54,16.4,8,7957,61,Roger Williams University,0.848668280871671
Yes,1777,1151,382,31,55,1668,1052,16425,5220,955,750,81,85,13.3,23,11561,90,Rollins College,0.647720877884074
Yes,434,321,141,28,53,624,269,10950,4600,550,950,79,82,12.9,30,9264,81,Rosary College,0.73963133640553
No,3820,1431,695,21,70,5303,3942,4356,4830,800,800,76,81,22.1,6,7252,51,Rowan College of New Jersey,0.374607329842932
No,48094,26330,4520,36,79,21401,3712,7410,4748,690,2009,90,95,19.5,19,10474,77,Rutgers at New Brunswick,0.547469538819811
No,3366,1752,232,27,79,2585,1300,7411,4748,690,2009,90,95,18.6,12,10134,57,Rutgers State University at Camden,0.520499108734403
No,5785,2690,499,26,62,4005,1886,7410,4748,690,2009,90,95,17.4,16,11878,58,Rutgers State University at Newark,0.464995678478825
Yes,2307,1896,509,19,51,1707,1889,11070,5780,400,600,71,73,14.8,16,7120,82,Sacred Heart University,0.82184655396619
Yes,897,718,276,12,48,1345,390,10450,4020,500,1500,56,56,14.1,16,7444,70,Saint Ambrose University,0.800445930880714
No,3971,3306,1921,10,34,11493,2206,4259,2625,350,1884,70,75,18.9,10,4629,58,Saint Cloud State University,0.832535885167464
Yes,213,166,85,13,36,513,247,8670,3820,450,1000,43,78,12.5,4,7440,48,Saint Francis College IN,0.779342723004695
Yes,1046,824,284,21,45,1223,451,10880,5050,400,1235,64,64,19.3,24,7344,69,Saint Francis College,0.787762906309752
Yes,920,684,225,24,42,815,222,11200,4250,600,950,55,60,14.8,19,7360,67,Saint Joseph's College IN,0.743478260869565
Yes,833,682,217,12,33,716,2196,9985,5180,500,800,53,89,27.2,8,4322,85,Saint Joseph's College,0.818727490996399
Yes,2519,2003,776,39,71,2473,1314,12750,6350,350,1690,84,90,17.4,13,8243,83,Saint Joseph's University,0.795156808257245
Yes,292,241,96,20,52,543,712,12200,4600,650,950,87,90,11.2,32,8680,76,Saint Joseph College,0.825342465753425
Yes,888,734,393,26,60,1433,27,12730,4514,500,1525,74,95,9.9,31,11165,98,Saint Mary's College,0.826576576576577
Yes,1910,1380,463,16,64,1715,106,13030,5860,500,750,79,88,14.5,34,10190,84,Saint Michael's College,0.722513089005236
Yes,2248,1673,745,38,73,2888,105,14350,3750,550,550,82,88,10,31,12502,83,Saint Olaf College,0.744217081850534
Yes,1606,1413,530,23,38,1921,1154,9408,5520,500,450,78,78,12.1,22,7669,53,Saint Peter's College,0.879825653798257
Yes,700,595,278,19,35,1035,182,10850,3936,500,900,62,64,12.3,31,8534,88,Saint Vincent College,0.85
Yes,489,384,120,23,52,700,45,10575,3952,400,620,46,24,13,9,8946,98,Salem-Teikyo University,0.785276073619632
Yes,335,284,132,28,69,534,216,10475,6300,500,2000,68,68,11.2,46,9599,60,Salem College,0.847761194029851
No,4216,2290,736,20,52,4296,1027,5130,4690,600,1450,73,75,17.9,18,5125,56,Salisbury State University,0.543168880455408
Yes,1680,1395,691,34,76,2959,402,8236,3700,569,1650,74,75,14.7,17,9533,61,Samford University,0.830357142857143
No,9402,7020,2151,20,70,16407,5550,8384,5110,612,2400,87,93,19.5,7,7930,41,San Diego State University,0.746649649010849
Yes,4019,2779,888,40,73,3891,128,13584,5928,630,1278,88,92,13.9,19,10872,100,Santa Clara University,0.691465538691217
Yes,1380,768,263,57,82,1000,105,19300,6694,600,700,89,93,6.1,18,14779,83,Sarah Lawrence College,0.556521739130435
Yes,1109,688,386,20,65,1897,208,8325,5000,1200,1600,14,98,16.1,26,6874,55,Savannah Coll. of Art and Design,0.620378719567178
Yes,584,413,131,19,51,521,99,8955,5900,500,1488,51,56,11.8,23,8545,52,Schreiner College,0.707191780821918
Yes,855,632,139,60,83,569,7,17238,7350,600,800,95,100,8.2,41,18372,73,Scripps College,0.739181286549708
