Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,CollegeNames,AcceptRate
Yes,2115,1540,494,28,72,2993,347,12825,4375,500,1500,85,85,12.2,16,10175,89,Seattle University,0.728132387706856
Yes,4576,3565,1000,16,36,4384,1530,12000,6484,650,1000,81,84,14.4,15,10080,64,Seton Hall University,0.779064685314685
Yes,936,794,197,24,56,752,210,11240,4180,350,2000,71,71,11.2,37,10065,71,Seton Hill College,0.848290598290598
No,5818,3281,1116,14,53,5268,300,7844,3504,450,1700,80,83,18.8,13,6719,72,Shippensburg University of Penn.,0.563939498109316
Yes,540,445,165,23,70,1115,111,7210,3600,500,2000,62,65,13.2,18,7356,58,Shorter College,0.824074074074074
Yes,2961,1932,628,24,68,2669,616,10800,5100,575,1090,71,82,14.1,42,8189,100,Siena College,0.652482269503546
Yes,464,419,183,10,31,686,287,9240,3880,475,1090,29,49,7.2,17,9431,47,Siena Heights College,0.90301724137931
Yes,437,400,211,13,35,614,271,8990,3064,500,1700,73,73,14.8,7,7881,48,Sioux Falls College,0.91533180778032
Yes,4293,2728,591,25,62,2322,263,18710,5970,500,700,87,92,12.7,29,14837,81,Skidmore College,0.635453063126019
Yes,2925,1598,632,51,88,2479,95,18820,6390,500,1050,85,97,10.3,44,21199,90,Smith College,0.546324786324786
No,2281,1870,1408,18,43,6553,1246,4680,3540,200,2150,75,76,17.1,8,5916,45,Southeast Missouri State University,0.819815870232354
No,818,700,447,20,50,2962,651,3738,2619,450,1022,55,59,19.6,9,4444,53,Southeastern Oklahoma State Univ.,0.855745721271394
Yes,385,340,193,18,38,784,127,9520,4124,630,1818,63,65,18.6,11,8219,43,Southern California College,0.883116883116883
No,2540,2195,994,13,40,6063,2550,5472,3598,221,2216,76,81,16.5,8,7498,43,Southern Illinois University at Edwardsville,0.864173228346457
Yes,4301,3455,1166,41,69,4892,387,12772,5078,576,1802,74,88,13.5,17,12726,72,Southern Methodist University,0.803301557777261
Yes,321,318,172,11,27,620,280,7536,3736,430,1651,44,77,13,12,5309,36,Southwestern Adventist College,0.990654205607477
Yes,1244,912,352,44,77,1177,43,11850,4675,600,1050,83,89,11.3,35,12995,67,Southwestern University,0.733118971061093
Yes,283,201,97,10,45,589,263,8400,2800,600,900,50,56,10.6,40,6860,89,Spalding University,0.710247349823322
Yes,3713,1237,443,47,83,1971,107,7000,5565,660,2400,73,80,12.5,18,9988,65,Spelman College,0.333153784002155
Yes,323,278,122,31,51,393,4,16150,5450,275,800,63,72,7.2,26,15622,64,St. John's College,0.860681114551084
Yes,1368,1064,354,19,51,1687,677,10570,5600,400,800,86,81,14.5,29,7908,66,St. John Fisher College,0.777777777777778
No,1340,695,285,42,73,1315,209,6800,4730,675,1250,84,89,11.6,23,10357,63,St. Mary's College of Maryland,0.51865671641791
Yes,1243,1020,414,33,60,2149,418,8678,3858,700,1736,82,83,16.2,7,7651,72,St. Mary's University of San Antonio,0.82059533386967
Yes,1334,1243,568,30,56,1946,95,12140,4450,425,1100,74,78,15.1,36,8595,88,St. Norbert College,0.931784107946027
Yes,861,609,215,10,27,1117,815,8650,5700,500,1750,69,73,16.1,13,6534,67,St. Thomas Aquinas College,0.707317073170732
Yes,450,405,194,17,34,614,388,13900,5200,450,2150,46,63,10.9,17,9995,59,Stephens College,0.9
Yes,1557,1227,489,37,69,1964,81,12315,4565,600,1365,85,90,12.5,24,10307,73,Stetson University,0.788053949903661
Yes,1768,1249,380,51,93,1263,11,16900,5680,450,750,89,89,19,33,12837,79,Stevens Institute of Technology,0.706447963800905
No,4019,1579,710,23,65,4365,765,3040,4351,711,1125,78,92,19.5,7,5599,64,Stockton College of New Jersey,0.392883801940781
Yes,3646,2300,585,25,69,2022,926,12170,6172,480,800,79,79,13,30,7495,97,Stonehill College,0.630828304991772
No,13528,9198,1843,16,61,10168,1231,6550,4355,700,1560,93,96,17.4,16,9075,74,SUNY at Albany,0.679923122412774
No,14463,6166,1757,60,94,8544,671,6550,4598,700,1000,83,100,18,15,8055,80,SUNY at Binghamton,0.426329253958377
No,15039,9649,3087,36,100,13963,3124,6550,4731,708,957,90,97,13.6,15,11177,56,SUNY at Buffalo,0.641598510539265
No,12512,6969,1724,27,66,9744,1351,6550,4712,600,1200,91,96,10.5,7,13705,57,SUNY at Stony Brook,0.556985294117647
No,7294,3564,904,7,34,5758,1363,6550,4460,500,705,79,83,19,14,6632,49,SUNY College  at Brockport,0.488620784206197
No,8000,4556,1464,17,70,6943,869,6550,4810,500,1500,69,85,22,21,5280,63,SUNY College  at Oswego,0.5695
No,5318,3515,1025,8,29,7626,2091,6550,4040,550,1230,71,78,18.7,12,7511,42,SUNY College at Buffalo,0.660962767957879
No,7888,3519,1036,6,40,5011,346,6550,4680,630,1274,82,85,17.8,17,5563,53,SUNY College at Cortland,0.446120689655172
No,8598,4562,1143,56,93,5060,146,6550,4170,600,650,79,84,19.1,25,5716,76,SUNY College at Geneseo,0.530588508955571
No,8399,3609,656,19,53,4658,1478,6550,4240,550,1500,85,93,15.3,8,6608,53,SUNY College at New Paltz,0.429694011191809
No,3150,2289,650,16,51,3598,234,6840,4660,500,1000,71,75,15.1,17,6436,59,SUNY College at Potsdam,0.726666666666667
No,2119,1264,390,5,33,2478,1441,6550,4760,1125,1362,80,100,14.9,8,8170,46,SUNY College at Purchase,0.596507786691836
Yes,462,402,146,36,68,527,41,14500,6000,500,600,91,99,6.5,48,18953,61,Sweet Briar College,0.87012987012987
Yes,257,183,109,19,41,396,38,7850,3410,400,1500,55,70,10,15,7233,53,Tabor College,0.712062256809339
Yes,232,182,99,7,29,402,237,7070,3640,400,3158,59,65,8.9,16,6286,36,Tennessee Wesleyan College,0.78448275862069
No,529,481,243,22,47,1206,134,4860,3122,600,650,103,88,17.4,16,6415,43,Texas A&M University at Galveston,0.909262759924386
Yes,4095,3079,1195,33,64,5064,660,8490,3320,650,2400,81,93,14.8,23,9158,64,Texas Christian University,0.751892551892552
Yes,497,423,215,27,57,895,429,7850,3410,490,1700,54,58,13.8,24,7002,50,Texas Lutheran College,0.851106639839034
No,4345,3245,2604,15,85,5584,3101,7860,3360,600,1700,65,75,18.2,21,3605,10,Texas Southern University,0.746835443037975
Yes,592,501,279,19,44,1204,392,6400,3484,600,1800,80,83,14.5,10,7936,43,Texas Wesleyan University,0.846283783783784
No,1500,1242,611,12,36,2024,292,7070,2439,400,779,95,94,17.1,17,7744,84,The Citadel,0.828
Yes,1154,951,253,15,31,791,140,11172,4958,700,1350,68,76,11.6,16,9186,60,Thiel College,0.824090121317158
Yes,759,729,244,57,81,867,51,10900,4450,500,1000,81,91,12.1,41,10219,70,Transylvania University,0.960474308300395
Yes,1262,1102,276,14,40,978,98,9456,4350,468,1323,53,53,12.8,24,7603,65,Tri-State University,0.873217115689382
Yes,3058,1798,478,46,84,1737,244,18810,5690,500,680,91,96,10.4,48,18034,91,Trinity College CT,0.587965990843689
Yes,247,189,100,19,49,309,639,11412,6430,500,900,89,93,8.3,37,11806,96,Trinity College DC,0.765182186234818
Yes,2425,1818,601,62,93,2110,95,12240,5150,500,490,94,96,9.6,20,14703,93,Trinity University,0.749690721649485
Yes,7033,5125,1223,47,75,4941,1534,19040,5950,350,800,98,98,9.1,21,16920,74,Tulane University,0.728707521683492
Yes,626,372,145,12,34,983,40,7700,3400,450,800,70,70,21.9,28,4933,52,Tusculum College,0.594249201277955
Yes,484,384,177,9,45,634,78,7800,2950,500,600,60,88,14.1,9,6864,64,Union College KY,0.793388429752066
Yes,3495,1712,528,49,84,1915,123,18732,6204,450,1024,94,96,11.5,49,15411,88,Union College NY,0.489842632331903
No,4800,2900,1515,14,48,7764,1472,6874,2394,518,1890,73,78,19.2,14,5901,56,Univ. of Wisconsin at OshKosh,0.604166666666667
No,1797,1260,938,24,35,6960,4698,4440,5175,750,2200,96,96,6.7,16,16352,33,University of Alabama at Birmingham,0.701168614357262
No,3235,3108,2133,25,65,9978,1530,5028,3300,500,2000,73,89,14.8,10,6820,39,University of Arkansas at Fayetteville,0.960741885625966
No,19873,8252,3215,95,100,19532,2061,11648,6246,636,1933,93,97,15.8,10,13919,78,University of California at Berkeley,0.415236753383988
No,15698,10775,2478,85,100,12677,864,12024,5302,790,1818,96,96,16.1,11,15934,66,University of California at Irvine,0.686393171104599
No,6986,2959,1918,25,60,12330,7152,6618,4234,700,1600,80,98,22.2,9,6742,46,University of Central Florida,0.423561408531348
Yes,6348,2999,922,68,94,3340,39,18930,6380,500,1254,99,99,5.3,36,36854,90,University of Chicago,0.472432262129805
No,6855,5553,2408,26,57,11036,2011,8907,4697,556,1851,89,95,10.8,6,13889,54,University of Cincinnati,0.810065645514223
Yes,681,588,246,44,74,1058,73,10760,6230,500,1200,85,93,13.4,26,8731,63,University of Dallas,0.863436123348018
Yes,6361,5293,1507,26,51,5889,665,11380,4220,500,900,81,85,14.8,25,8894,93,University of Dayton,0.832101870775036
Yes,14446,10516,3252,22,57,14130,4522,10220,4230,530,1300,82,87,18.3,15,10650,75,University of Delaware,0.727952374359684
Yes,2974,2001,580,29,60,2666,554,15192,4695,400,1350,84,91,15.9,21,11762,67,University of Denver,0.672831203765972
Yes,927,731,415,24,50,2149,2217,11130,3996,600,2166,72,79,13.5,14,10891,51,University of Detroit Mercy,0.78856526429342
Yes,576,558,137,11,39,662,131,10430,3620,400,1500,85,98,16.5,18,8767,45,University of Dubuque,0.96875
Yes,2096,1626,694,35,67,2551,407,11800,4340,700,960,60,81,15.8,26,7780,77,University of Evansville,0.775763358778626
No,11220,7871,3320,43,79,19553,2748,5697,3600,525,1755,88,95,14.7,22,7881,63,University of Georgia,0.701515151515152
Yes,5081,4040,1194,11,26,3768,1415,14220,6000,500,1440,61,76,10.7,9,10625,66,University of Hartford,0.795119071049006
No,3580,2603,1627,36,69,11028,2411,4460,3038,687,1281,85,87,11.8,6,12833,54,University of Hawaii at Manoa,0.727094972067039
No,14939,11652,5705,52,88,25422,911,7560,4574,500,1982,87,90,17.4,13,8559,81,University of Illinois - Urbana,0.779971885668385
No,8384,5727,2710,22,50,13518,2916,7230,5088,630,3228,82,84,10,6,13883,34,University of Illinois at Chicago,0.683086832061069
Yes,1487,1276,388,26,51,1417,1646,11120,4080,525,1405,55,56,11.1,23,6735,69,University of Indianapolis,0.858103564223268
No,8579,5561,3681,25,50,17880,1673,6994,3384,700,2681,88,94,13.7,17,9657,57,University of Kansas,0.64821074717333
Yes,1597,969,226,16,38,1431,1522,13540,5050,630,2298,66,68,14.1,23,10139,47,University of La Verne,0.606762680025047
No,4777,3057,1823,16,33,9844,6198,6540,3600,530,2440,84,92,11.1,24,10207,31,University of Louisville,0.639941385806992
No,1208,803,438,20,48,1906,344,6810,3970,450,1647,67,75,15.9,26,5712,59,University of Maine at Farmington,0.664735099337748
No,441,369,172,17,45,633,317,6600,3680,600,400,46,46,15.1,4,5935,64,University of Maine at Machias,0.836734693877551
No,461,381,235,10,40,974,503,6600,3630,400,1675,67,67,15.2,11,6408,35,University of Maine at Presque Isle,0.82646420824295
No,4269,2594,985,27,57,6476,2592,8594,4408,494,2768,82,88,18.4,6,7618,55,University of Maryland at Baltimore County,0.607636448817053
No,14292,10315,3409,22,53,19340,3991,8723,5146,550,1550,89,92,18.1,12,9021,63,University of Maryland at College Park,0.7217324377274
Yes,7122,5386,1643,42,69,7760,876,16500,6526,630,1985,82,94,5.9,17,17500,59,University of Miami,0.756248244875035
No,4192,3126,1656,15,45,5887,1254,8828,3474,753,2610,79,91,19,11,6393,53,University of Minnesota at Duluth,0.745706106870229
No,3844,3383,1669,26,47,7524,804,4916,3810,600,550,81,86,20.3,14,6971,53,University of Mississippi,0.880072840790843
No,6574,4637,2940,32,62,14782,1583,9057,3485,600,1983,87,87,12.7,15,10145,58,University of Missouri at Columbia,0.70535442652875
No,1877,1826,823,49,77,3926,561,9057,3600,700,1435,88,88,14.4,23,9699,49,University of Missouri at Rolla,0.972828982418753
No,1618,1141,479,18,54,4793,4552,7246,3964,500,4288,71,73,13.4,15,6433,48,University of Missouri at Saint Louis,0.705191594561187
Yes,452,331,269,17,54,1417,301,6150,3680,550,1200,59,63,16.6,4,5412,52,University of Mobile,0.732300884955752
No,1351,892,570,18,78,2385,331,4440,3030,300,600,72,72,18.9,8,5883,51,University of Montevallo,0.660251665433013
Yes,1209,750,265,19,54,820,159,11450,5045,900,2500,72,75,11.4,13,9718,64,University of New England,0.620347394540943
No,9750,7640,2529,24,62,10358,1338,11180,3862,650,2450,89,87,17.5,16,7855,75,University of New Hampshire,0.783589743589744
No,1757,979,394,32,74,2033,1078,5972,3420,600,750,77,83,13,11,7011,37,University of North Carolina at Asheville,0.557199772339215
No,14596,5985,3331,75,92,14609,1100,8400,4200,550,1200,88,93,8.9,23,15893,83,University of North Carolina at Chapel Hill,0.410043847629488
No,5803,4441,1730,19,62,10099,3255,7248,3109,600,1900,79,91,16.8,7,6227,62,University of North Carolina at Charlotte,0.765293813544718
No,6071,3856,1449,15,67,6635,1145,7558,3680,500,1500,82,85,19.1,15,6005,55,University of North Carolina at Wilmington,0.635150716521166
No,2777,2249,1652,20,54,8334,1435,5634,2703,450,1200,97,97,15.9,16,9424,49,University of North Dakota,0.809866762693554
No,1800,1253,560,44,85,3876,3588,6634,4360,600,2604,82,85,17.8,14,6104,47,University of North Florida,0.696111111111111
No,4418,2737,2049,23,51,14047,5134,4104,3579,450,1700,86,94,22.6,6,5657,35,University of North Texas,0.619511090991399
No,5530,4007,1697,12,37,8463,1498,7731,4128,540,2286,75,75,21.5,8,6309,40,University of Northern Colorado,0.724593128390597
No,4144,3379,1853,18,52,10135,1448,6197,2930,595,2380,78,82,16.3,26,6333,77,University of Northern Iowa,0.815395752895753
Yes,7700,3700,1906,79,96,7671,30,16850,4400,600,1350,96,92,13.1,46,13936,97,University of Notre Dame,0.480519480519481
No,4743,3970,2233,32,63,13436,2582,5173,3526,765,3176,86,90,11.5,11,10244,44,University of Oklahoma,0.837022981235505
No,8586,6383,2503,25,59,13138,4289,10786,4560,400,900,93,93,7.8,10,13789,66,University of Pittsburgh-Main Campus,0.74341952014908
Yes,1758,1485,419,27,58,2041,174,12040,4100,600,1100,92,96,13.2,17,9060,72,University of Portland,0.844709897610922
Yes,4044,2826,688,51,83,2738,138,16230,4500,630,1800,79,86,15,17,11217,63,University of Puget Sound,0.698813056379822
No,9643,7751,1968,12,40,8894,2456,10330,5558,500,1250,84,89,16.6,7,9158,63,University of Rhode Island,0.803795499325936
Yes,8766,5498,1243,56,75,5071,438,17840,6582,500,882,93,99,5.9,23,26037,80,University of Rochester,0.627195984485512
Yes,3934,2735,886,40,70,3698,217,13600,5940,630,1820,93,96,15.6,13,10813,66,University of San Diego,0.695221148957804
Yes,2306,1721,538,23,48,4309,549,13226,6452,750,2450,86,86,13.6,8,10074,62,University of San Francisco,0.746313963573287
Yes,4471,2942,910,29,60,3674,493,11584,5986,650,800,83,83,14.1,41,9131,92,University of Scranton,0.658018340416014
No,848,560,377,14,24,1855,1412,5800,3066,500,1500,62,62,14.8,3,5035,48,University of South Carolina at Aiken,0.660377358490566
No,7693,5815,2328,30,66,12594,3661,8074,3522,495,2941,84,88,16.9,18,8246,63,University of South Carolina at Columbia,0.755881970622644
No,7589,4676,1876,29,63,14770,10962,6760,3776,500,2180,84,89,17,7,11020,47,University of South Florida,0.616154961127948
Yes,12229,8498,2477,45,71,13259,1429,17230,6482,600,2210,90,94,11.4,10,17007,68,University of Southern California,0.694905552375501
No,1401,1239,605,10,34,3716,675,7100,4380,540,2948,63,88,19.4,0,5389,36,University of Southern Colorado,0.884368308351178
No,2379,2133,1292,8,25,4283,2973,4973,3192,500,1425,56,65,22,21,4078,38,University of Southern Indiana,0.896595208070618
No,2850,2044,1046,20,50,9260,1387,4652,2470,500,500,78,99,18.7,23,5917,45,University of Southern Mississippi,0.71719298245614
Yes,2057,1807,828,26,53,4106,982,11712,4037,500,800,80,80,13.8,13,8546,89,University of St. Thomas MN,0.878463782207098
Yes,374,280,185,45,77,995,408,8550,4050,500,1344,75,75,12.6,17,7237,62,University of St. Thomas TX,0.748663101604278
No,7473,5372,3013,27,53,15749,3237,5764,3262,750,3300,86,92,16.5,22,8612,53,University of Tennessee at Knoxville,0.718854543021544
No,3281,2559,1448,19,43,10975,8431,4422,2780,500,2850,73,73,21,4,4696,29,University of Texas at Arlington,0.779945138677233
No,14752,9572,5329,48,85,30017,5189,5130,3309,650,3140,91,99,19.7,11,7837,65,University of Texas at Austin,0.648861171366594
No,4217,3100,1686,17,46,9375,5457,4104,5376,452,1200,94,100,25.3,3,4329,50,University of Texas at San Antonio,0.73511975337918
Yes,2459,1997,582,36,66,2664,299,16320,5326,646,1171,87,94,11.2,14,13706,65,University of the Pacific,0.812118747458316
Yes,1445,966,326,46,83,1129,24,15350,4080,450,810,89,93,10.3,52,18784,82,University of the South,0.668512110726644
No,5095,4491,2400,27,53,13894,8374,6857,3975,858,3093,89,93,12.8,9,9275,37,University of Utah,0.881452404317959
No,7663,6008,1735,18,51,7353,1674,15516,4928,500,990,87,90,9.9,10,12646,79,University of Vermont,0.784027143416417
No,15849,5384,2678,74,95,11278,114,12212,3792,500,1000,90,92,9.5,22,13597,95,University of Virginia,0.339705975140387
No,12749,7025,3343,40,81,20356,4582,8199,4218,708,2172,96,94,9,10,16527,65,University of Washington,0.551023609694878
No,1558,1254,472,20,57,3754,2477,6172,3994,541,1387,83,87,23.4,12,8488,53,University of West Florida,0.804878048780488
No,910,910,342,14,53,1434,417,7032,2780,550,1960,75,81,15.2,15,6490,36,University of Wisconsin-Superior,1
No,2409,1939,759,17,50,3819,1347,6900,2800,475,1200,81,89,22.2,1,5968,46,University of Wisconsin at Green Bay,0.804898298048983
No,2029,1516,1073,23,46,7535,1488,5988,3422,600,1500,91,94,15.1,13,8745,45,University of Wyoming,0.747166091670774
Yes,663,452,192,10,35,1481,1160,8840,3060,500,1000,69,75,17.4,19,3733,78,Upper Iowa University,0.681749622926094
No,368,344,212,5,27,863,189,4286,2570,600,2000,39,41,14.9,25,4958,40,Valley City State University,0.934782608695652
Yes,7759,5588,1477,30,68,6362,1292,15925,6507,400,300,89,90,13.4,24,10458,96,Villanova University,0.720195901533703
No,4963,3497,1567,18,45,10262,5065,10217,4182,500,3630,81,87,8.7,11,11183,45,Virginia Commonwealth University,0.704614144670562
No,2996,2440,704,2,30,3006,338,5587,4845,500,600,61,63,16,11,5733,31,Virginia State University,0.814419225634179
No,15712,11719,4277,29,53,18511,604,10260,3176,740,2200,85,89,13.8,20,8944,73,Virginia Tech,0.745863034623218
Yes,1847,1610,453,19,59,1298,67,7384,3494,500,1763,51,67,13.7,8,6757,30,Virginia Union University,0.871683811586356
Yes,1470,900,287,20,49,1130,417,10900,5100,500,550,70,81,15.7,14,7804,68,Virginia Wesleyan College,0.612244897959184
Yes,647,518,271,17,43,1014,387,9140,3365,500,2245,51,65,10.7,31,8050,73,Viterbo College,0.800618238021638
Yes,1465,1006,188,10,30,703,20,4450,2522,500,1200,43,43,22.9,3,5861,58,Voorhees College,0.686689419795222
Yes,800,623,256,41,76,801,5,12925,4195,500,635,78,85,9.9,55,14904,72,Wabash College,0.77875
Yes,1416,1015,417,10,44,1324,117,13500,5800,585,1700,67,78,13.2,23,9006,75,Wagner College,0.71680790960452
Yes,5661,2392,903,75,88,3499,172,13850,4360,500,1250,95,97,4.3,37,41766,89,Wake Forest University,0.42254018724607
Yes,1231,1074,345,34,66,1295,105,11600,3610,400,850,66,91,12.4,37,7735,67,Wartburg College,0.872461413484972
Yes,1305,1100,334,42,64,1098,151,16260,4005,300,500,91,91,12.1,40,10162,86,Washington and Jefferson College,0.842911877394636
Yes,3315,1096,425,68,93,1584,3,13750,4619,680,1115,81,96,9.6,45,15736,90,Washington and Lee University,0.330618401206637
Yes,1209,942,214,31,60,822,46,15276,5318,500,300,79,86,11.2,37,10830,65,Washington College,0.779156327543424
Yes,7654,5259,1254,62,93,4879,1274,18350,5775,768,1512,91,98,3.9,31,45702,90,Washington University,0.687091716749412
Yes,1190,978,324,12,30,1280,61,8840,3620,500,1200,57,58,16.2,26,6563,63,Waynesburg College,0.821848739495798
Yes,280,143,79,5,27,327,110,5590,2900,650,1952,53,63,15.1,4,4839,90,Webber College,0.510714285714286
Yes,2895,1249,579,80,96,2195,156,18345,5995,500,700,94,98,10.6,51,21409,91,Wellesley College,0.431433506044905
Yes,318,240,130,40,85,416,19,14900,5550,600,500,93,98,8.3,42,13935,69,Wells College,0.754716981132076
Yes,1480,1257,452,6,25,2961,572,9850,6050,850,920,10,68,15.4,8,17858,64,Wentworth Institute of Technology,0.849324324324324
Yes,980,807,350,10,25,872,448,9890,4674,500,1350,52,57,14.4,15,6243,84,Wesley College,0.823469387755102
Yes,4772,1973,712,60,86,2714,27,19130,5600,1400,1400,90,94,12.1,39,16262,92,Wesleyan University,0.413453478625314
No,6502,3539,1372,11,51,7484,1904,7844,4108,400,2000,76,79,15.3,16,6773,52,West Chester University of Penn.,0.544294063365118
No,1164,1062,478,12,25,2138,227,4470,2890,600,1210,33,33,16.3,10,4249,60,West Liberty State College,0.912371134020619
No,3224,2519,1057,11,31,5000,706,6390,2380,110,1622,67,78,14.6,9,6554,55,Western Carolina University,0.781327543424318
Yes,1205,984,278,31,50,1071,98,14510,5340,500,1400,84,91,12.5,39,10026,60,Western Maryland College,0.816597510373444
No,9167,7191,2738,24,53,15739,4278,6940,4100,500,1700,80,84,24.7,11,5983,55,Western Michigan University,0.784444202029017
Yes,1650,1471,409,7,21,1803,1116,8994,5500,498,2065,74,97,15.4,15,8409,59,Western New England College,0.891515151515151
No,5548,3563,1549,30,71,8909,506,8124,4144,639,2385,83,89,22.7,10,7203,61,Western Washington University,0.642213410237924
No,3100,2150,825,3,20,3234,941,5542,3788,500,1300,75,79,15.7,20,4222,65,Westfield State College,0.693548387096774
Yes,662,553,184,20,43,665,37,10720,4050,600,1650,66,70,12.5,20,7925,62,Westminster College MO,0.835347432024169
Yes,996,866,377,29,58,1411,72,12065,3615,430,685,62,78,12.5,41,8596,80,Westminster College,0.869477911646586
Yes,917,720,213,21,60,979,743,8820,4050,600,2025,68,83,10.5,34,7170,50,Westminster College of Salt Lake City,0.785169029443839
Yes,1432,920,548,56,84,2200,56,11480,4200,530,1400,81,83,12.7,40,11916,85,Wheaton College IL,0.642458100558659
Yes,1861,998,359,45,77,1220,46,16670,4900,750,800,80,83,10.5,51,13198,72,Whitman College,0.536270822138635
Yes,1121,926,372,43,70,1270,160,12660,4500,678,2424,80,80,16.9,20,8328,80,Whitworth College,0.826048171275647
Yes,1631,1431,434,15,36,1803,603,11150,5130,550,1260,78,92,13.3,24,8543,67,Wilkes University,0.877375843041079
Yes,1658,1327,395,49,80,1595,159,14800,4620,400,790,91,94,13.3,37,10779,68,Willamette University,0.800361881785283
Yes,663,547,315,32,67,1279,75,10060,2970,500,2600,74,80,11.2,19,7885,59,William Jewell College,0.825037707390649
Yes,469,435,227,17,39,851,120,10535,4365,550,3700,39,66,12.9,16,7438,52,William Woods University,0.927505330490405
Yes,4186,1245,526,81,96,1988,29,19629,5790,500,1200,94,99,9,64,22014,99,Williams College,0.297419971333015
Yes,167,130,46,16,50,199,676,11428,5084,450,475,67,76,8.3,43,10291,67,Wilson College,0.778443113772455
Yes,1239,1017,383,10,34,1207,157,7820,3400,550,1550,69,81,13.9,8,7264,91,Wingate College,0.820823244552058
No,3325,2047,1301,20,45,5800,872,4200,2700,300,1200,53,60,20.2,18,5318,58,Winona State University,0.615639097744361
Yes,152,128,75,17,41,282,22,9100,3700,500,1400,48,48,8.5,26,8960,50,Wisconsin Lutheran College,0.842105263157895
Yes,1979,1739,575,42,68,1980,144,15948,4404,400,800,82,95,12.8,29,10414,78,Wittenberg University,0.878726629610915
Yes,1501,935,273,51,83,1059,34,12680,4150,605,1440,91,92,15.3,42,7875,75,Wofford College,0.622918054630247
Yes,2768,2314,682,49,86,2802,86,15884,5370,530,730,92,94,15.2,34,10774,82,Worcester Polytechnic Institute,0.835982658959538
No,2197,1515,543,4,26,3089,2029,6797,3900,500,1200,60,60,21,14,4469,40,Worcester State College,0.689576695493855
Yes,1959,1805,695,24,47,2849,1107,11520,4960,600,1250,73,75,13.3,31,9189,83,Xavier University,0.921388463501787
Yes,2097,1915,695,34,61,2793,166,6900,4200,617,781,67,75,14.4,20,8323,49,Xavier University of Louisiana,0.913209346685741
